BLOC,POLARITÉ,PLANÈTE_1,PLANÈTE_2,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,CE_QUE_TU_RECHERCHES,COMMENT_TU_VIS_L_AMOUR,DIFFICULTÉS,MOTS_CLÉS
Style,"Femme, Homme",Vénus,Mars,Aspect,Conjonction,"Amour et désir fusionnent en toi. Tu ne fais pas la différence entre aimer et vouloir — c'est tout ou rien. Grande intensité émotionnelle et sexuelle, magnétisme naturel. Tu cherches la passion totale, l'âme sœur avec qui tout vibre en même temps. Risque : confondre intensité et profondeur.",Un lien où la complicité et le désir cohabitent.,"Vit l’amour comme une fusion, parfois étouffante.","Difficulté à garder la distance, peur de perdre l’autre.",fusion; passion; intensité; complicité
Style,"Femme, Homme",Vénus,Mars,Aspect,Carré,"Conflit intérieur entre ton besoin d'amour et ton impulsion de désir. Tu peux vouloir quelqu'un que tu n'aimes pas vraiment, ou aimer quelqu'un que tu ne désires plus. Attirance forte mais relations orageuses — la passion se mêle au conflit. Ton défi : réconcilier douceur et feu.",Quelqu’un qui comprend sa dualité sans la juger.,Vit l’amour comme un combat entre cœur et pulsion.,"Incompatibilité affective, tensions hommes/femmes.",conflit; tension; passion; dualité
Style,"Femme, Homme",Vénus,Mars,Aspect,Opposition,"Tu attires ton opposé et tu désires ce que tu ne comprends pas. Forte polarisation dans les relations : l'autre incarne ce qui te manque. Fascination magnétique, mais difficulté à intégrer les deux énergies en toi. Ton défi : cesser de projeter et assumer ta propre dualité.","Un lien où chacun garde sa place, sans se dominer.",Vit l’amour comme un miroir de ses contradictions.,"Relations instables, projections fortes.",opposés; attirance; dualité; projection
Style,"Femme, Homme",Vénus,Mars,Aspect,Trigone,"Harmonie naturelle entre amour et désir. Tu sais ce que tu veux et tu l'assumes sans drama. Séduction fluide, sensualité simple, relations qui coulent de source. Tu n'as pas besoin de tension pour te sentir vivant(e) — la passion peut être douce.","Un lien où le désir nourrit l’amour, sans effort.","Vit l’amour dans la confiance, la complicité, la joie.",Peut s’endormir dans la routine s’il/elle n’est pas stimulé(e).,harmonie; sensualité; fluidité; confiance
Style,"Femme, Homme",Vénus,Mars,Aspect,Sextile,Bonne connexion entre cœur et corps. Tu sais créer des opportunités amoureuses sans forcer. Le désir et la tendresse s'expriment de façon complémentaire. Relations stimulantes mais pas compliquées — tu trouves facilement l'équilibre.,"Quelqu’un de doux et conscient, capable d’accueillir sa complexité.","Vit l’amour avec attraction/répulsion, sans toujours comprendre pourquoi.","Incompréhension, attirances “impossibles”.",inconscient; tension; attraction; complexité
Style,"Femme, Homme",Vénus,Jupiter,Aspect,Conjonction,"Tu aimes grand, généreux, expansif. L'amour est une aventure, une célébration — tu veux tout vivre à fond. Optimisme naturel en amour, tu attires l'abondance relationnelle. Risque : idéaliser, papillonner, ne jamais te poser vraiment.",,,,
Style,"Femme, Homme",Vénus,Jupiter,Aspect,Carré,"Conflit entre ton désir d'amour et ton besoin de liberté. Tu veux tout : la relation ET l'aventure, la stabilité ET l'excès. Difficulté à doser, à te contenter de ce que tu as. Ton défi : trouver la juste mesure sans te frustrer ni fuir.",,,,
Style,"Femme, Homme",Vénus,Jupiter,Aspect,Opposition,"Tu projettes ton besoin d'expansion sur l'autre. Tu attends qu'on t'ouvre des horizons, qu'on te fasse rêver plus grand. Attraction pour les gens généreux, exubérants, étrangers. Ton défi : créer ta propre abondance amoureuse au lieu de l'attendre.",,,,
Style,"Femme, Homme",Vénus,Jupiter,Aspect,Trigone,"Chance naturelle en amour. Tu attires facilement, tu séduis sans effort, les relations coulent de source. Optimisme sincère, capacité à voir le bon côté de chaque histoire. L'amour est léger, joyeux, fluide — tu ne compliques pas les choses.",,,,
Style,"Femme, Homme",Vénus,Saturne,Aspect,Conjonction,"L'amour est sérieux, grave, lourd. Tu ne joues pas — c'est du solide ou rien. Difficulté à te laisser aller, peur de ne pas être à la hauteur, besoin de prouver ta valeur. Grande fidélité mais risque de sécheresse émotionnelle. Ton défi : t'autoriser la légèreté.",,,,
