DONNEE,MAISON,SIGNE,INTERPRETATION,BLOC,PRIORITE
maison,1,bélier,"Personnalité intense, passionnée, courageuse, parfois agressive ou impulsive. Force d'énergie, personne active, qui aime la compétition, le combat, le dynamisme, agir, entreprendre.
Peut aimer le sport, les sports de combat, la compétition sportive.
Aura besoin de bouger, se dépenser.
Prises de décisions directes, vives et impulsives, agit selon son instinct. Tendance à être entier, à s'affirmer, à craindre la domination d'autrui, à parler fort et à s'imposer.
La colère et une tendance à être hyperactif peuvent parfois être problématiques. La modération et la patience sont à travailler.",,
maison,1,taureau,"Ascendant paisible, calme, simple qui aime sa routine. Il a besoin de temps pour se lancer dans quelque chose de nouveau, pour réfléchir, savoir si il se sent en sécurité. Le temps est important pour l'ascendant taureau, il est plutôt lent dans sa manière d'agir.
C'est un ruminant. Il a du mal à s'adapter et à changer, et a besoin de temps pour le faire. Il doit ""ruminer"", l'information et au bout d'un certain temps il accepte la nouvelle idée, de changer de point de vue. Il est fiable, impliqué, endurant.
Il est épicurien, appréciant les plaisirs simples de la vie, le sexe sensuel, les massages, la nourriture, le sommeil.",,
maison,1,gémeaux,"L'ascendant gémeaux sera drôle, sociable, semblant extraverti et à l'aise dans les relations. Il aura tendance à être bavard, curieux et actif, il aime communiquer.
Il a besoin de vivre continuellement des expériences d'apprentissage, pour se développer intellectuellement, débordant de curiosité.
Il ne sera pas toujours fiable, parfois un peu volage et léger vis-à-vis des relations intimes et de ses engagements. Il peut avoir peur de s'investir émotionnellement.
Il fait jeune, physiquement et dans sa manière d'être, c'est l'éternel adolescent.",,
maison,1,cancer,"La sensibilité est de mise, les émotions sont particulièrement présentes. L'ascendant cancer est émotif, doux et tendre. Il est très sensible à son environnement, généreux, proche de siens. Il a besoin d'être entouré, rassuré, aimé. Il peut avoir tendance à faire du chantage affectif et culpabiliser un peu les autres. Il se comportement comme une petite fille ou un petit garçon.
La famille est une valeur forte engendrant une fidélité et proximité avec ""son clan"" et le besoin de créer son propre foyer, d'être en couple et avoir des enfants.
Très casanier, il aime les plaisirs partagés autour de la nourriture (le sucre en particulier), du cocooning... pas très sportif, n'aimant pas trop les nouveautés, les situations insécurisantes.",,
maison,1,lion,"Le cas de l'ascendant lion est particulier, parce-qu'il renforce le signe solaire puisque le soleil définit le signe et que le maître du lion est le soleil. C'est comme si le signe, quel qu'il soit, était doublé. Ex: scorpion ascendant lion, renforce le scorpion.
Le besoin d'attention est important, prestance, charisme, séduction, mais aussi forte créativité, passion, il cultive une âme d'enfant.
Attitude protectrice, chevaleresque, réclamant des compliments et supportant difficilement la critique. Il est susceptible, acceptant mal de se tromper, d'être jugé par les autres. Il a besoin d'être vu, reconnu, il se met en avant, réclamant des compliments.",,
maison,1,vierge,"L'ascendant vierge dégage une attitude de rigidité, de rigueur, de sérieux, un peu sèche et à cheval sur les règles. Elle prend des précautions avant d'agir, mais une fois lancée elle peut beaucoup porter. Dévouée, elle porte une morale et des principes, elle a besoin d'être utile, elle a le sens du devoir accompli.
Son travail va compter, le goût de le tâche bien faite. Maniaque, perfectionniste, elle se sentira bien en prenant soin de son intérieur, en vivant dans un cadre qu'elle s'impose.
Très exigeante, elle aura du mal à se sentir satisfaite d'elle même.
Elle a tendance à donner des conseils aux autres concernant la santé, le quotidien, elle prend soin de son corps et de son alimentation qu'elle veut naturelle.",,
maison,1,balance,"L'ascendant balance possède un charme qui attire les autres. Elle recherche une véritable harmonie dans ses relations, un équilibre dans sa vie. Elle est attirée par la beauté, dotée d'une sensibilité esthétique et artistique. Elle aura besoin que son environnement soit beau, de bon goût.
Elle recherche la paix intérieure ce qui la fait souvent hésiter sur le bon choix à faire, ne trouvant jamais le fameux juste milieu.
Elle aura tendance à vouloir faire plaisir à tout le monde et au nom de cet équilibre, elle cherchera à lisser les discours et situations, jouer la médiatrice, apaiser. Elle a besoin de montrer un certain vernis d'entretenir une bonne image d'elle qui aura tendance à l'enfermer.",,
maison,1,scorpion,"L'ascendant scorpion possède une aura puissante et un magnétisme qui peut intimider. Sa détermination, son intelligence, sa pertinence, sa façon de mettre à nu les autres, son intuition peuvent profondément déstabiliser.
Il déteste la superficialité et sera en recherche de profondeur dans sa vie et dans ses relations. Il sera sans cesse en train de creuser les réflexions et les idées.
Ayant tendance à être anxieux, il se remet beaucoup en question mais évite de le montrer. Mystérieux, il cache ses émotions par crainte de montrer sa vulnérabilité. Si c'est le cas, il aura tendance à attaquer. Il peut être jaloux et exclusif.
Il aime l'ésotérisme, le paranormal, il est fasciné par la mort.",,
maison,1,sagittaire,"L'ascendant sagittaire a besoin de découvrir, de vivre des aventures. Il est passionné, enthousiaste, bourré d'optimisme et a envie de profiter de la vie, goûtant aux excès.
Il est plein de joie de vivre contagieuse, d'humour.
Il est en recherche de sens, de compréhension. Il mène une quête intérieure pour se comprendre et comprendre le monde. Il la mène à travers les grands voyages, les études dans les domaines intellectuels, et la spiritualité, la religion. La liberté et l'intelligence comptent pour lui. Il a besoin de transmettre son savoir et ses connaissances.
Il est généreux, il aime donner des conseils et aime qu'on les suive.",,
maison,1,capricorne,"L'ascendant capricorne est stable, sédentaire, solitaire, mettant en place une véritable discipline de vie. Il aime se retrouver avec lui-même, et évite la foule, les groupes.
Il a une vie sérieuse, organisée, où le travail prend une place centrale. Il prendra plus de plaisir à suivre ses buts et objectifs, que de s'amuser en soirée. Il aura aussi peu tendance à se reposer, priorisant ses exigences et sa carrière.
Il se pose généralement des objectifs très ambitieux, et il aime diriger. Il est mature, plein de sagesse, patient, et se réalisera sur le long terme, avec du temps. Il a tendance à être pessimiste, fataliste, taciturne. Il s'enquiert peu de l'avis des autres, ne prenant pas en compte le jugement",,
