ASTRE,DONNEE,VALEUR ,INTERPRETATION,
lune_noire,aspect_soleil,opposition,"Lorsque le soleil est opposé à la lune noire, nous avons tout simplement
honte de nous même. Ce que nous sommes, profondément au fond de
nous, est tourné en ridicule, en absurde. Nous avons le sentiment d'avoir
un égo sur-dimensionné, une confiance en soi absolument excessive, et
nous alternons avec un sentiment d'être totalement ridicule dans nos
manifestations narcissiques. La lune noire va contraindre notre égo. Vécu
difficile avec le père, que nous avons pu trouver absurde dans son
comportement.","Lorsque le soleil est opposé à la lune noire, nous avons tout simplement
honte de nous même. Ce que nous sommes, profondément au fond de
nous, est tourné en ridicule, en absurde. Nous avons le sentiment d'avoir
un égo sur-dimensionné, une confiance en soi absolument excessive, et
nous alternons avec un sentiment d'être totalement ridicule dans nos
manifestations narcissiques. La lune noire va contraindre notre égo. Vécu
difficile avec le père, que nous avons pu trouver absurde dans son
comportement."
lune_noire,aspect_soleil,conjonction,"Lorsque le soleil est conjoint à la lune noire, il y a un trouble identitaire.
Un refus de soi-même, un rejet de soi et de ce que l'on est. Les parts
d'ombre arrivent plus fortement à la conscience, le sujet les vit et s'y
identifie, ressentant le tourment comme un trait caractéristique de son
être. Il peut y avoir également le rejet du père, la méfiance envers lui et
le rejet de l'homme, du mari pour une femme. Un peur de se faire
""manger"" par lui.","Lorsque le soleil est conjoint à la lune noire, il y a un trouble identitaire.
Un refus de soi-même, un rejet de soi et de ce que l'on est. Les parts
d'ombre arrivent plus fortement à la conscience, le sujet les vit et s'y
identifie, ressentant le tourment comme un trait caractéristique de son
être. Il peut y avoir également le rejet du père, la méfiance envers lui et
le rejet de l'homme, du mari pour une femme. Un peur de se faire
""manger"" par lui."
lune_noire,aspect_lune,opposition,"La lune opposée à la lune noire va montrer un excès maternant que nous
pouvons avoir auprès des autres. Nous voulons nous occuper d'eux comme
une mère, et nous avons honte de nous comporter comme cela avec les
autres. Nous avons tellement peur de ne pas avoir d'amour que nous
faisons tout pour nous occuper des autres. Nous avons également honte
de nos émotions, qui semblent totalement ridicules et excessives, nous
pouvons souffrir d'émotions très fortes. Alors nous nous coupons pour ne
plus rien ressentir. Mère vue comme ridicule dans son comportement
maternel.","La lune opposée à la lune noire va montrer un excès maternant que nous
pouvons avoir auprès des autres. Nous voulons nous occuper d'eux comme
une mère, et nous avons honte de nous comporter comme cela avec les
autres. Nous avons tellement peur de ne pas avoir d'amour que nous
faisons tout pour nous occuper des autres. Nous avons également honte
de nos émotions, qui semblent totalement ridicules et excessives, nous
pouvons souffrir d'émotions très fortes. Alors nous nous coupons pour ne
plus rien ressentir. Mère vue comme ridicule dans son comportement
maternel."
lune_noire,aspect_lune,conjonction,"Conjointe à la lune, la lune noire symbolise un rapport de haine et
d'amour envers la mère, deux images de mères qui coexistent : la douceur
et la violence. Pour un homme, l'image de l'épouse sera difficile,
ressentant une peur de la femme et une image de femme vengeresse.
Les émotions sont violentes, l'individu ressent en lui une fragilité
importante.","Conjointe à la lune, la lune noire symbolise un rapport de haine et
d'amour envers la mère, deux images de mères qui coexistent : la douceur
et la violence. Pour un homme, l'image de l'épouse sera difficile,
ressentant une peur de la femme et une image de femme vengeresse.
Les émotions sont violentes, l'individu ressent en lui une fragilité
importante."
lune_noire,aspect_mercure,opposition,"Mercure opposé à la lune noire va évoquer la honte que nous avons
ressentie dans l'enfance. Nous nous sentons ridicule dans notre
comportement enfantin jugé immature, à notre goût, nous étions ""trop""
dispersé, en demande, à réclamer etc. Nous pouvons avoir tendance
aujourd'hui à nous positionner fortement en enfant, à être dans l'excès
d'un comportement enfantin. Nous avons honte de notre intelligence, nos
réflexions ne sont jamais assez intelligentes, pertinentes, construites à
notre goût. Nous taisons donc au lieu de","Mercure opposé à la lune noire va évoquer la honte que nous avons
ressentie dans l'enfance. Nous nous sentons ridicule dans notre
comportement enfantin jugé immature, à notre goût, nous étions ""trop""
dispersé, en demande, à réclamer etc. Nous pouvons avoir tendance
aujourd'hui à nous positionner fortement en enfant, à être dans l'excès
d'un comportement enfantin. Nous avons honte de notre intelligence, nos
réflexions ne sont jamais assez intelligentes, pertinentes, construites à
notre goût. Nous taisons donc au lieu de"
lune_noire,aspect_mercure,conjonction,"Conjointe à Mercure, la lune noire symbolise une vie antérieure avec des
problématiques de santé mentale, de mutisme, de surdité, d'autisme. Le
sentiment d'être double est fort, tout en étant en recherche du jumeau
perdu. Il peut y avoir eu le décès d'un frère, d'un ami très proche dans
l'enfance. La communication est difficile, angoissante, et l'enfance a été
difficile, avec une méfiance à l'égard des adultes.","Conjointe à Mercure, la lune noire symbolise une vie antérieure avec des
problématiques de santé mentale, de mutisme, de surdité, d'autisme. Le
sentiment d'être double est fort, tout en étant en recherche du jumeau
perdu. Il peut y avoir eu le décès d'un frère, d'un ami très proche dans
l'enfance. La communication est difficile, angoissante, et l'enfance a été
difficile, avec une méfiance à l'égard des adultes."
lune_noire,aspect_venus,opposition,"Nous avons honte de l'amour, de notre façon d'aimer, de soi en tant que femme. Nous pouvons courir après l'amour, les relations, trop en faire pour être aimé.e, être dans une séduction excessive, dans une demande sentimentale excessive. En réalité nous avons du mal à nous aimer nousmême, et à aimer véritablement comme si l'amour était ridicule. Nous sommes dans une ambiguïté sentimentale. Image de la femme dégradée, croyances sur le féminin.","Nous avons honte de l'amour, de notre façon d'aimer, de soi en tant que femme. Nous pouvons courir après l'amour, les relations, trop en faire pour être aimé.e, être dans une séduction excessive, dans une demande sentimentale excessive. En réalité nous avons du mal à nous aimer nousmême, et à aimer véritablement comme si l'amour était ridicule. Nous sommes dans une ambiguïté sentimentale. Image de la femme dégradée, croyances sur le féminin."
lune_noire,aspect_venus,conjonction,"Avec Vénus, les relations amoureuses sont conflictuelles, difficiles, source
d'échec parfois. Le besoin d'amour est absolu, recherchant à combler un
sentiment de vide, mais la réalité est angoissante avec un rejet de l'autre.
Pour les femmes, la féminité est mal vécue, double : provocatrice et douce
à la fois. Pour les hommes, les relations peuvent se cumuler car il y a une
peur des femmes. Difficulté avec les soeurs et les amies femmes.","Avec Vénus, les relations amoureuses sont conflictuelles, difficiles, source
d'échec parfois. Le besoin d'amour est absolu, recherchant à combler un
sentiment de vide, mais la réalité est angoissante avec un rejet de l'autre.
Pour les femmes, la féminité est mal vécue, double : provocatrice et douce
à la fois. Pour les hommes, les relations peuvent se cumuler car il y a une
peur des femmes. Difficulté avec les soeurs et les amies femmes."
lune_noire,aspect_mars,opposition,"Avec Mars, c'est le masculin qui pose problème : en tant qu'homme, aveс
sa propre virilité qui est remise en question occasionnant possiblement
des troubles sexuels. L'image des hommes est difficile, avec une vision
ridicule de l'homme. Nous avons honte de nos propres désirs, de nos
pulsions, et nous pouvons être dans un excès de domination martienne,
puis fortement le regretter. Le positionnement du soi dans l'affirmation
personnelle est peu équilibré. Nos désirs sexuels nous semblent honteux,
nous pouvons avoir honte de notre sexualité.","Avec Mars, c'est le masculin qui pose problème : en tant qu'homme, aveс
sa propre virilité qui est remise en question occasionnant possiblement
des troubles sexuels. L'image des hommes est difficile, avec une vision
ridicule de l'homme. Nous avons honte de nos propres désirs, de nos
pulsions, et nous pouvons être dans un excès de domination martienne,
puis fortement le regretter. Le positionnement du soi dans l'affirmation
personnelle est peu équilibré. Nos désirs sexuels nous semblent honteux,
nous pouvons avoir honte de notre sexualité."
lune_noire,aspect_mars,conjonction,"Avec Mars, c'est le masculin qui pose problème: pour un homme, avec sa
propre virilité qui est remise en question occasionnant des troubles
sexuels, précocité ou impuissance, pour une femme la tendance à
rechercher des compagnons agressifs et manipulateurs. Il y a peut être eu
des difficultés avec les frères, les cousins, difficultés avec les amis
garçons. Mars sera excessif : impulsivité, violence, prises de risques
importants. Le passage à l'action n'est pas construit et mesuré avec une
recherche du danger.","Avec Mars, c'est le masculin qui pose problème: pour un homme, avec sa
propre virilité qui est remise en question occasionnant des troubles
sexuels, précocité ou impuissance, pour une femme la tendance à
rechercher des compagnons agressifs et manipulateurs. Il y a peut être eu
des difficultés avec les frères, les cousins, difficultés avec les amis
garçons. Mars sera excessif : impulsivité, violence, prises de risques
importants. Le passage à l'action n'est pas construit et mesuré avec une
recherche du danger."
lune_noire,aspect_jupiter,opposition,"C'est la question de la place qui est difficile. Nous ne nous sentons pas
légitime à prendre notre place dans la société, dans notre vie, dans notre
métier, notre famille. Nous alternons avec un excès de domination, à se
mettre en avant, parler haut et fort pour se faire entendre, chaque
individu ou situation nouvelle représentant un danger menaçant notre
place, avec une retrait excessif et soudain. On a honte de son
comportement, honte de demander plus d'attention. On se sent
soudainement illégitime.","C'est la question de la place qui est difficile. Nous ne nous sentons pas
légitime à prendre notre place dans la société, dans notre vie, dans notre
métier, notre famille. Nous alternons avec un excès de domination, à se
mettre en avant, parler haut et fort pour se faire entendre, chaque
individu ou situation nouvelle représentant un danger menaçant notre
place, avec une retrait excessif et soudain. On a honte de son
comportement, honte de demander plus d'attention. On se sent
soudainement illégitime."
