ASTRE,DONNEE ,VALEUR,INTERPRETATION
maison_12,intro,base,"La Maison XII parle de la vie immédiatement antérieure, des conditionnements inconscients encore actifs et du karma à dissoudre. Ce qui s’y joue demande lucidité, recul et retour au réel."
maison_12,signe,belier,"Vie antérieure marquée par l’action, la conquête et le combat. Rapport direct à la survie, à la force et à l’affirmation. Difficulté à canaliser la colère et l’impulsivité. Mémoire de vies guerrières ou compétitives, où la valeur se prouvait par l’affrontement."
maison_12,signe,taureau,"Vie antérieure stable, laborieuse et centrée sur la sécurité matérielle. Attachement fort aux possessions, au corps et aux habitudes. Difficulté à lâcher le contrôle et à s’adapter au changement. Mémoire de vies liées à la terre, au commerce ou à l’accumulation."
maison_12,signe,gemeaux,"Vie antérieure mobile, légère et curieuse. Multiplicité des expériences, déplacements fréquents, instabilité. Difficulté à s’ancrer et à s’engager durablement. Mémoire de vies nomades, commerçantes ou intellectuelles"
maison_12,signe,cancer,"Vie antérieure centrée sur la famille, le clan et l’émotionnel. Forte dépendance affective et peur de l’abandon. Attachement au passé et à la lignée. Mémoire de sociétés protectrices, matriarcales ou très familiales."
maison_12,signe,lion,"Vie antérieure marquée par le pouvoir personnel, la reconnaissance et la mise en lumière. Besoin d’être vu et valorisé. Blessure d’ego ou de légitimité. Mémoire de vies fastueuses, créatives ou dominantes."
maison_12,signe,vierge,"Vie antérieure de service, de devoir et de rigueur. Sens aigu des responsabilités et du détail. Tendance au perfectionnisme et à l’auto-critique. Mémoire de vies austères, médicales ou administratives."
maison_12,signe,balance,"Vie antérieure orientée vers l’harmonie, l’esthétique et les relations. Difficulté à s’affirmer seul et à trancher. Recherche constante d’équilibre et de validation extérieure. Mémoire de vies sociales, artistiques ou juridiques."
maison_12,signe,scorpion,"Vie antérieure intense, marquée par les crises, la perte et la survie. Méfiance, contrôle émotionnel, peur de la trahison. Rapport fort à la mort, aux secrets ou au pouvoir. Mémoire de vies dangereuses ou souterraines."
maison_12,signe,sagittaire,"Vie antérieure tournée vers l’expansion, le savoir et le voyage. Besoin de sens, de transmission et de vision globale. Difficulté à trouver sa juste place. Mémoire de vies privilégiées, intellectuelles ou spirituelles."
maison_12,signe,capricorne,"Vie antérieure de solitude, de discipline et de construction intérieure. Sens du devoir très fort, parfois rigide. Mémoire de vies d’exil, de pauvreté ou de responsabilités lourdes. Rapport austère à l’autorité et au temps."
maison_12,signe,verseau,"Vie antérieure idéologique, collective ou révolutionnaire. Besoin de liberté radicale, rejet des normes. Tension entre appartenance et marginalité. Mémoire de vies en rupture sociale ou politique.
"
maison_12,signe,poissons,"Vie antérieure de dissolution, de foi, d’art ou de fuite du réel. Sensibilité extrême, idéalisation, sacrifice. Mémoire de vies spirituelles, marginales ou chaotiques. Difficulté à poser des limites."
maitre_maison_12,maison,1,Le travail karmique influence directement l’identité et la manière d’exister. Les enjeux inconscients colorent la personnalité et demandent une affirmation consciente de soi.
maitre_maison_12,maison,2,"Le karma cherche à se résoudre à travers la sécurité matérielle, la valeur personnelle et le rapport à l’argent. Apprendre à construire une stabilité concrète est central."
maitre_maison_12,maison,3,"Les mémoires karmiques se rejouent dans la communication, l’entourage proche ou les apprentissages. Le travail passe par la parole consciente et les échanges."
maitre_maison_12,maison,4,"Le karma est lié aux racines, au foyer et aux fondations intérieures. Comprendre son histoire familiale aide à apaiser les mémoires inconscientes."
maitre_maison_12,maison,5,"Les enjeux karmiques s’expriment à travers la créativité, l’ego ou la vie affective. Il s’agit d’apprendre à rayonner sans rejouer les schémas inconscients."
maitre_maison_12,maison,6,"Le travail karmique se manifeste dans le quotidien, la santé ou le service rendu aux autres. Discipline et conscience des habitudes sont essentielles."
maitre_maison_12,maison,7,Les relations deviennent le terrain principal de résolution karmique. Les partenaires agissent comme des miroirs révélant les mémoires inconscientes.
maitre_maison_12,maison,8,"Le karma pousse vers des transformations profondes. Les crises, pertes ou ruptures peuvent servir de catalyseurs d’évolution intérieure."
maitre_maison_12,maison,9,"Le travail karmique passe par la quête de sens, les croyances ou l’ouverture au monde. Revoir sa vision du monde est fondamental."
maitre_maison_12,maison,10,Les enjeux inconscients influencent la vocation et l’ambition. La reconnaissance sociale peut devenir un terrain d’intégration karmique.
maitre_maison_12,maison,11,"Le karma se joue dans les groupes, les amitiés et les projets collectifs. Apprendre à trouver sa place dans une communauté est central."
