ASTRE,DONNEE,VALEUR,INTERPRETATION
INTERCEPTION,axe,belier_balance,"Tu as du mal à entrer en relation et à trouver un équilibre avec les autres. Tu alternes entre deux extrêmes : t'effacer, faire des compromis et répondre aux attentes au détriment de toi-même, puis t'imposer brutalement dans la colère, avant de culpabiliser et de repartir dans l'excès inverse. Cette instabilité déstabilise ton entourage et peut attirer des personnes qui en profitent. Elle peut aussi impacter tes relations sentimentales (surtout si Vénus est mal aspectée) et ta sexualité (si Mars est en mauvais état).

Au fond, tu te connais peu toi-même : tu peines à identifier tes désirs, tes sensations, et tu confonds parfois tes valeurs et tes sentiments. Tu peux être froid(e) et sans expression personnelle, ou au contraire submergé(e) par tes émotions. Dans les deux cas, tu es fortement influençable. Tu peux avoir un comportement séducteur tout en évitant d'approfondir les relations.

En vie antérieure, exprimer tes désirs était interdit ou mal vu — il fallait t'effacer devant les autres. Tu as développé des relations de façade pour éviter les conflits, au détriment de la connaissance de toi-même. Tes stratégies de survie : projeter tes désirs sur l'autre en supposant qu'il les partage, ou te replier et t'isoler pour éviter les conflits internes. Une exigence comportementale rigide peut aussi s'être installée, que tu tends à réclamer chez les autres.

Cette interception peut donner lieu à des troubles visuels, myopie, inflammations cutanées, tics nerveux, migraines."
INTERCEPTION,axe,1-7,"La personne peine à sentir clairement où elle commence et où l’autre finit. L’identité se construit souvent par réaction : soit elle s’efface pour préserver le lien, soit elle se durcit pour ne pas être absorbée. Les relations deviennent un miroir inconfortable, parce qu’elles réveillent à la fois le besoin d’être reconnu et la difficulté à s’affirmer sans culpabilité. Cela peut produire une alternance entre dépendance relationnelle, retrait brusque et défense excessive de son espace personnel."
INTERCEPTION,axe,taureau_scorpion,"Tu as du mal à te sentir en sécurité et stabilisé(e). Tu oscilles entre deux extrêmes : un besoin intense de te sécuriser à tout prix, et une envie soudaine de tout plaquer. Concrètement, tu peux te retrouver à prendre trop de risques et vivre une existence tumultueuse, ou au contraire t'enfermer dans ta routine par peur de l'inconnu. Tu aimerais peut-être changer de travail ou de vie, mais l'insécurité t'en empêche.
Tu portes des angoisses profondes, une peur de l'avenir difficile à apaiser, une tendance à stagner tout en rêvant de rupture totale. En interne, c'est beaucoup de remous : ruminations, certitudes absolues qui ne supportent aucune contradiction, peurs archaïques, et parfois une violence contenue ou des tendances à l'auto-destruction.
En vie antérieure, un événement majeur — une guerre, une menace sur ta survie ou ton foyer — a détruit ta confiance en l'ordre établi et ancré un sentiment d'insécurité profond. Les mécanismes de survie se sont renforcés à l'extrême, pouvant aller jusqu'à des comportements paranoïaques ou un rejet de soi.
Ta stratégie de survie principale : ne pas entendre ce qui remet en question tes certitudes. Ta mémoire est sélective, tes barrières mentales solides. Tu prends tes décisions lentement, après repli et rumination, en filtrant ce qui correspond déjà à ce que tu crois.
Cette interception peut donner lieu à des troubles auditifs. Une peur d'avoir des enfants et des troubles sexuels si Mars est rétrograde ou mal aspecté."
INTERCEPTION,axe,2-8,"La personne porte une tension profonde entre sécurité personnelle et perte de contrôle. Elle peut chercher à retenir, posséder, stabiliser, tout en étant régulièrement confrontée à des situations qui l’obligent à lâcher une part de maîtrise : argent partagé, dettes symboliques, dépendances affectives, héritages émotionnels, sexualité, confiance. Le rapport au corps, aux ressources et à la survie peut devenir chargé. Cela produit souvent une oscillation entre besoin de sécurité absolue et attraction trouble pour les situations intenses ou risquées."""
INTERCEPTION,axe,gémeaux_sagittaire,"Tu as du mal à communiquer et à faire confiance à ton intelligence. Tu oscilles entre deux extrêmes : te sous-estimer et saboter tes propres réussites, ou au contraire t'affirmer avec excès et chercher à briller. Cette alternance se retrouve aussi dans ta relation à l'entourage : tu prends tes distances, puis tu occupes trop de place.
Ta communication peut être dispersée, bridée, enfantine ou trop moralisatrice. Tu parles souvent par dogmes et croyances plutôt que par échange direct. Tu peux avoir un sentiment fort d'illégitimité et te positionner en enfant, même adulte. Les études ont pu être difficiles ou douloureuses, non par manque de capacités, mais par manque de confiance en ton potentiel.
Tu as tendance à reproduire les modèles idéologiques de ton milieu d'origine dans tes relations adultes. Le statut social compte beaucoup pour toi, davantage comme source d'enrichissement ou de reconnaissance que comme voie de développement personnel. Le sentiment de ne pas avoir assez de prestige peut générer une injustice. En amour, tu cherches à prendre le pouvoir mais tu te retrouves souvent dominé(e), ce qui t'amène à te victimiser.
En vie antérieure, une communication marquée par les mensonges, les manipulations, les promesses non tenues et une vie dispersée t'a coupé(e) des autres. Tu avais tendance à t'approprier ton environnement et à imposer tes règles pour maintenir une forme de pouvoir sur l'entourage. Ces schémas rendent aujourd'hui les relations simples et directes difficiles à établir.
Le natif peut souvent, avec cette interception, devenir enseignant pour résoudre sa problématique de communication. Avec cette interception, il y a des difficultés d'élocution, de la dyslexie, de l'autisme, des tendance psychosomatiques, asthme, bronchites, allergies, difficultés respiratoires, problèmes au foie."
INTERCEPTION,axe,3-9,"La personne peut avoir du mal à faire circuler clairement sa pensée. Les idées existent, mais elles restent parfois coincées entre trop de détails et une vision trop large. Elle peut douter de sa parole, se censurer, intellectualiser à l’excès ou au contraire s’accrocher à des convictions rigides pour ne pas se perdre. Les apprentissages, la communication, la transmission ou la légitimité intellectuelle deviennent des zones sensibles. Cela peut produire une difficulté à dire simplement ce qu’elle sait pourtant profondément."
INTERCEPTION,axe,cancer_capricorne," Tu portes une blessure d'enfance profonde : quelque chose ne s'est pas bien passé dans ta famille d'origine. Tu as eu du mal à accéder à tes parents émotionnellement et tu as ressenti une solitude marquée dans l'enfance. Ce vécu conditionne encore ta vie adulte aujourd'hui.
Tu oscilles entre deux extrêmes : une dépendance affective forte, un besoin que l'autre comble ton vide intérieur, et un rejet brutal de cette dépendance, une froideur et un repli pour reprendre le contrôle. Tu reproches parfois à l'autre de t'envahir ou de te voler ton autonomie. Tu alternes entre émotions débordantes et froideur totale. Il y a aussi une peur de grandir, de te confronter au monde adulte, un sentiment d'être incapable seul(e).
Tu cherches constamment des modèles et des références extérieures car tu peines à t'individualiser. Le passé est omniprésent : chaque situation du présent fait écho à ton enfance et peut déclencher des réactions émotionnelles intenses. Les schémas relationnels se répètent. Tu as tendance à fonder ta vie soit en adhérant aux normes familiales, soit en les rejetant totalement à l'adolescence — mais dans les deux cas, ton identité se construit en réaction à ta famille, pas indépendamment d'elle.
Ton discours intègre souvent des ""il faut"", ""on doit"", ""c'est normal"" — les lois morales deviennent ta réalité. L'accès à ta créativité et ton imaginaire est difficile. Tu peux souffrir de ne pas avoir été accepté(e) inconditionnellement.
En vie antérieure, l'obéissance aux normes du groupe primait sur tout. Toute divergence était vécue comme une déviance. L'avenir était tracé d'avance, sans remise en question possible. Ces schémas de conformité ou de rébellion rigide se rejouent dans cette vie.
Avec cette interception, on remarque des tendances dépressives, troubles du comportement alimentaire, de la digestion, manque de souplesse au niveau des articulations, des problèmes aux genoux."
INTERCEPTION,axe,4-10,"La personne porte une tension entre l’appartenance intime et la place visible dans le monde. La famille, les racines ou l’histoire privée peuvent peser silencieusement sur l’ambition, la carrière ou l’image sociale. Elle peut avoir du mal à se sentir autorisée à réussir, à prendre sa place, ou au contraire se réfugier dans le contrôle extérieur pour ne pas sentir l’insécurité de fond. Cela crée souvent une alternance entre besoin de retrait, loyautés familiales invisibles et pression de devoir prouver quelque chose."
INTERCEPTION,axe,lion_verseau,"Tu as du mal à avoir une estime de toi stable. Tu oscilles entre des pics de confiance — sentiment de supériorité, envie de briller, de te mettre en avant — et des chutes brutales où tu te sens nul(le), imposteur(e), en dessous de tout. Ces cycles sont rapprochés et intenses, déstabilisants pour ton entourage. Tu cherches absolument à être au centre de l'attention tout en ayant du mal à t'y mettre réellement.
Le syndrome de l'imposteur est très présent : tu as peur que les autres finissent par voir ce que tu constates toi-même dans tes moments de doute. Un simple déclencheur peut faire s'effondrer instantanément une confiance qui semblait solide. Tu peux envier les réussites des autres, ressentir un besoin de grandeur qui ne semble jamais vraiment assouvi.
Deux stratégies possibles : t'enfermer dans la vulnérabilité et une image négative de toi-même, ou rejeter totalement ta vulnérabilité et tes ressentis pour ne fonctionner que par le mental. Dans les deux cas, il y a un filtre mental qui écarte tout ce qui viendrait contredire l'image que tu t'es construite. Les émotions et la réalité des autres peuvent menacer cette image et créer du chaos intérieur.
Pour te reconnecter à toi-même, il est important de te rattacher aux sensations corporelles et à l'expérimentation sensorielle — c'est par là que tu retrouves le sentiment d'exister vraiment.
En vie antérieure, l'égo et le prestige ont pris trop de place, au point de te couper de ton cœur et des autres. Les idées et convictions étaient imposées comme des dogmes, sans tolérance pour la contradiction. Ces schémas se rejouent aujourd'hui dans une difficulté à te relier sincèrement aux autres et à accepter qu'on puisse te dépasser. Avec cette interception, on remarque des difficultés au coeur, à la colonne
vertébrale, des troubles neurologiques et des problématiques au niveau du
système nerveux."
INTERCEPTION,axe,5-11,"La personne peut avoir du mal à exprimer spontanément ce qui la rend vivante, singulière ou créative. Le plaisir, la joie, le désir d’être vu ou aimé pour soi peuvent rester retenus, comme si l’élan personnel devait être validé par le groupe, l’amitié ou un idéal collectif. Elle peut se cacher derrière les autres, servir une cause, soutenir un réseau, tout en gardant son propre rayonnement en sourdine. Cela produit souvent une difficulté à prendre sa place sans se sentir égoïste."
