PLANETE_1;PLANETE_2;ASPECTS;TYPE;SCORE;COMMENTAIRE;
Ascendant;Soleil;carré, opposition;defis;4.5;Conflit entre image et identité. Difficulté à être authentique.;
Ascendant;Lune;carré, opposition;defis;4.5;Masque émotionnel, difficulté à montrer sa vulnérabilité.;
Ascendant;Mars;carré, opposition;defis;4;Agressivité apparente ou refoulée. Image combative.;
Ascendant;Saturne;conjonction, carré, opposition;mixte;5;Image austère, difficulté à rayonner. Blocage de l'expression de soi. bloquant au départ, mais donne solidité et endurance une fois intégré.;
Ascendant;Uranus;conjonction, carré, opposition;mixte;4;Instabilité d'image, rejet social. Difficulté à s’intégrer mais peut aussi donner de l’originalité;
Ascendant;Neptune;carré, opposition;defis;4.5;Flou identitaire, confusion sur soi. Image idéalisée ou victime.;
Ascendant;Neptune;conjonction;mixte;4.5;" Grande sensibilité, intuition et magnétisme personnel. Peut brouiller les limites entre soi et l'autre ; besoin d'ancrage pour éviter la confusion ou les illusions.";
Ascendant;Pluton;conjonction, carré, opposition;mixte;5;Crise d'identité majeure. Transformation forcée de l’image mais pouvoir de transformation exceptionnel.;
Ascendant;Rahu;conjonction;defis;4.5;Présence magnétique, capable d’attirer les regards et d’influencer les autres, mais au risque d’être happé par l’image sociale ou la quête d’approbation. Le défi est de conserver une identité authentique, sans se définir par le regard extérieur.;
Ascendant;Rahu;carré;defis;4.5;Crise identitaire et tension entre besoin d’affirmation (Rahu) et retrait intérieur (Ketu). Tu peux osciller entre visibilité excessive et disparition symbolique. Le défi : ancrer une image juste de toi-même, indépendante du regard des autres.;
Ascendant;Ketu;conjonction;defis;4.5;Effacement de soi, difficulté à se sentir “incarné”. Tendance à se retirer du monde ou à douter de sa valeur personnelle. Besoin de se réapproprier son individualité.;
Ascendant;Soleil;conjonction, trigone, sextile;force;5;Identité rayonnante, affirmation naturelle. Cohérence entre être et paraître.;
Ascendant;Lune;conjonction, trigone, sextile;force;5;Authenticité émotionnelle, expression naturelle des besoins. Sensibilité visible.;
Ascendant;Mercure;conjonction, trigone, sextile;force;4.5;Communication spontanée, esprit vif. Image intellectuelle claire.;
Ascendant;Vénus;conjonction, trigone, sextile;force;4.5;Charme naturel, grâce, beauté. Facilité relationnelle.;
Ascendant;Mars;conjonction, trigone, sextile;force;4.5;Énergie vitale visible, courage, initiative. Présence dynamique.;
Ascendant;Jupiter;conjonction, trigone, sextile;force;4.5;Optimisme contagieux, générosité visible. Présence expansive.;
Ascendant;Saturne;trigone, sextile;force;4;Maturité apparente, sérieux naturel. Autorité posée.;
Ascendant;Uranus;trigone, sextile;force;4;Originalité marquante, indépendance visible. Présence unique.;
Ascendant;Neptune;trigone, sextile;force;3.5;Sensibilité artistique, douceur. Aura mystérieuse.;
Ascendant;Pluton;trigone, sextile;force;5;Magnétisme intense, charisme. Présence transformatrice.;
Soleil;Lune;carré, opposition;defis;5;Conflit entre volonté consciente et besoins émotionnels. Tension entre action et sécurité intérieure, souvent héritée du rapport parental.;
Soleil;Mercure;carré, opposition;defis;2.5;Discorde entre ego et pensée. Difficulté à exprimer clairement sa volonté, tendance à vouloir toujours avoir raison.;
Soleil;Venus;carré, opposition;defis;2.5;Dissonance entre affirmation de soi et besoin d’amour. Peut créer charme et charme-résistance : attirer mais craindre l’attachement.;
Soleil;Mars;carré, opposition;mixte;4.5;Volonté vs impulsivité. Conflit entre affirmation et agressivité. Risque d’épuisement ou d’autoritarisme si mal canalisé. mais peut-être moteur : c’est de la colère créatrice. Si bien canalisée, ça donne du courage.;
Soleil;Jupiter;carré, opposition;mixte;3.5;Tendance à la démesure, excès de confiance ou idéal grandiose. Besoin de réaligner ambition et sens moral. Excès d’ambition, mais aussi foi et élan généreux.;
Soleil;Saturne;conjonction, carré, opposition;mixte;5;Blocage de la confiance en soi, complexe d’infériorité, peur de l’échec. Appel à construire une autorité intérieure authentique. Autant force structurante que poids du devoir.;
Soleil;Neptune;conjonction, carré, opposition;defis;4.5;Ego poreux, risque d’illusion ou de désillusion. Tendance à se sacrifier ou à se perdre dans des idéaux flous.;
Soleil;Uranus;carré, opposition;defis;4;Besoin d’indépendance extrême, rébellion contre toute autorité. Volonté de liberté parfois destructrice si non canalisée Énergie rebelle et visionnaire, mais instabilité.;
Soleil;Uranus;conjonction;mixte;5;Originalité puissante et besoin d’autonomie. Potentiel visionnaire mais instabilité si non canalisé.;
Soleil;Pluton;conjonction, carré, opposition;mixte;5;"Crise d’identité profonde. Rapport au pouvoir, contrôle, transformation radicale du soi. Grande intensité de volonté. Crise et pouvoir personnel. Ça détruit ou ça transcende.
";
Soleil;Rahu;conjonction;defis;4.5;Fusion entre volonté et ambition karmique. Risque d’ego surdimensionné, quête de reconnaissance ou de validation extérieure. Le défi : transformer l’orgueil en rayonnement authentique, au service d’une mission plus large que soi.;
Soleil;Rahu;carré;defis;4.5;Tension entre affirmation personnelle et destin collectif. L’ego lutte entre soif de reconnaissance (Rahu) et détachement du monde (Ketu). Tu peux osciller entre surexposition et effacement. Le défi : assumer ton rayonnement sans excès ni retrait.;
Soleil;Ketu;conjonction;defis;4.5;Conjonction karmique majeure. Détachement du passé, besoin de se libérer d’une identité conditionnée ou héritée. Le défi : affirmer sa lumière sans s’effacer ni se couper de la vitalité du monde.;
Soleil;Lune;trigone, sextile;force;5;Harmonie intérieure. Équilibre entre raison et émotion. Unité du masculin et du féminin, stabilité émotionnelle.;
Soleil;Mercure;conjonction;mixte;3.5;Vivacité mentale et cohérence intérieure, mais risque de confusion entre pensée et ego. Communication trop personnelle ou subjective.;
Soleil;Mercure;trigone, sextile;force;3;Esprit clair, expression naturelle du soi. Intelligence pratique, cohérence entre pensée et volonté.;
Soleil;Vénus;conjonction, trigone, sextile;force;4;Charme, charisme, douceur solaire. Capacité à unir amour et affirmation de soi. Don pour créer l’harmonie.;
Soleil;Mars;trigone, sextile;force;4.5;Courage, initiative, leadership naturel. Force d’action équilibrée. Capacité à aller au bout des projets.;
Soleil;Jupiter;trigone, sextile;force;4.5;Optimisme, confiance, foi en soi. Don pour inspirer et enseigner. Vision constructive et généreuse.;
Soleil;Saturne;trigone, sextile;force;4;Maturité, sens des responsabilités. Capacité à bâtir solidement et durablement. Leadership structuré.;
Soleil;Saturne;conjonction;mixte;4.5;Discipline, ambition, rigueur. Peut virer à l’autocensure ou à la peur d’échouer. Maturité extrême ou rigidité;
Soleil;Neptune;trigone, sextile;force;3.5;Intuition, créativité spirituelle, compassion. Fusion entre idéal et volonté. Vision poétique du monde.;
Soleil;Neptune;conjonction;mixte;4;Idéal spirituel puissant, intuition et empathie. Peut se perdre dans l’image de soi ou les illusions. Inspiration élevée ou confusion spirituelle — double tranchant.;
Soleil;Uranus;trigone, sextile;force;4;Originalité, indépendance, créativité libre. Capacité à inspirer les autres par sa singularité.;
Soleil;Uranus;conjonction ;force;5;Génie créatif et liberté d’être, mais risque de rejet de toute autorité. Autonomie brillante si assumée.;
Soleil;Pluton;trigone, sextile;force;5;Charisme puissant, transformation intérieure. Pouvoir de régénération et de magnétisme personnel.;
Soleil;Rahu;trigone, sextile;force;3.5;Destinée solaire favorable, ambition constructive. Visibilité accrue.;
Soleil;Ketu;trigone, sextile;force;3;Détachement sage de l'ego, humilité. Sagesse du passé intégrée.;
Lune;Mercure;carré, opposition;defis;3.5;Dissonance entre émotions et raison. Difficulté à verbaliser ce qu’on ressent, pensées changeantes selon l’humeur.;
Lune;Venus;carré, opposition;defis;3.5;Besoin d’amour en tension avec la sécurité affective. Recherche d’approbation, dépendance émotionnelle ou affective.;
Lune;Mars;conjonction, carré, opposition;defis;5;Émotivité explosive, colère intériorisée ou défensive. Réactivité immédiate aux frustrations. Grande intensité affective à canaliser.;
Lune ;Jupiter;carré, opposition;defis;2.5;Émotions amplifiées, exagération affective. Besoin excessif de réassurance, tendance à dramatiser.;
Lune;Saturne;conjonction, carré, opposition;defis;5;Blocage émotionnel profond, peur de ne pas être aimé. Solitude affective, difficulté à se consoler. Résilience par la maturité.;
Lune;Neptune;conjonction, carré, opposition;defis;4.5;Hypersensibilité, confusion entre ressenti et idéal. Risque d’illusion affective, d’oubli de soi ou de fuite émotionnelle.;
Lune;Uranus;conjonction, carré, opposition;defis;4;Instabilité émotionnelle, besoin de liberté affective. Oscillation entre fusion et détachement. Rejet des dépendances.;
Lune;Pluton;conjonction, carré, opposition;defis;5;Intensité émotionnelle extrême, peur de l’abandon. Besoin de contrôle sur les liens intimes. Transformation affective profonde.;
Lune;Rahu;conjonction;defis;4.5;Fusion entre émotions et désirs insatiables. Attachement intense à ce que tu veux ressentir ou posséder. Tendance à chercher la sécurité émotionnelle à travers l’extérieur, créant une faim affective sans fond. Le défi : cultiver la satiété intérieure plutôt que la dépendance émotionnelle.;
Lune;Rahu;carré;defis;4.5;Émotions amplifiées, désirs insatiables ou au contraire détachement affectif soudain. Tiraillée entre besoin d’attachement et besoin d’autonomie, tu oscilles entre dépendance émotionnelle et fuite intérieure. Le défi : trouver l’équilibre entre lien et liberté.;
Lune;Ketu;conjonction;defis;4;Détachement émotionnel excessif, froideur ou repli intérieur. Tendance à rationaliser ou couper les émotions. Le défi : réhabiliter la vulnérabilité sans perdre le recul spirituel.;
Lune;Mercure;trigone, sextile;force;3;Intelligence émotionnelle, communication fluide des sentiments. Capacité à traduire les émotions en mots clairs.;
Lune;Mercure;conjonction;mixte;4;Fusion entre émotion et pensée. Communication intuitive mais mentale, parfois trop réactive ou émotive.;
Lune;Vénus;conjonction, trigone, sextile;force;4.5;Tendresse, charme, empathie. Grande sensibilité affective, chaleur naturelle, don pour apaiser ou aimer.;
Lune;Mars;trigone, sextile;force;4;Énergie émotionnelle équilibrée. Courage de ressentir et d’agir. Bonne spontanéité, initiative sans impulsivité.;
Lune;Mars;conjonction;force;4;Émotivité forte, courage affectif. Peut se transformer en réactivité excessive.;
Lune;Jupiter;conjonction, trigone, sextile;force;4.5;Générosité, joie, optimisme émotionnel. Capacité à rayonner la bienveillance, chaleur du cœur.;
Lune;Saturne;trigone, sextile;force;4;Stabilité intérieure, maîtrise émotionnelle. Résilience face à l’adversité, loyauté, fiabilité affective.;
Lune ;Saturne;conjonction;force;3.5;Maturité émotionnelle acquise, stabilité profonde. Résilience face à l'adversité (potentiel si le défi est travaillé). Grande stabilité émotionnelle ou froid intérieur selon le vécu. Maîtrise acquise dans le temps.;
Lune;Neptune;conjonction, trigone, sextile;force;4.5;Compassion, inspiration, imagination fertile. Grande empathie, sens artistique et intuition raffinée.;
Lune;Uranus;trigone, sextile;force;4;Intuition vive, émotion indépendante. Capacité à évoluer rapidement sans rupture intérieure. Sensibilité visionnaire.;
Lune;Pluton;trigone, sextile;force;5;Profondeur émotionnelle, force de régénération. Capacité à guérir et à accompagner les autres dans leurs transformations.;
Lune;Pluton;conjonction;force;5;Profondeur émotionnelle extrême, transformation intérieure. Force de guérison si la blessure est intégrée.;
Lune;Rahu;trigone, sextile;force;3.5;Intuition amplifiée, émotions riches. Capacité d'empathie collective.;
Lune;Ketu;trigone, sextile;force;3;Détachement émotionnel sain, sagesse intérieure. Paix avec le passé.;
Mercure;Venus;carré, opposition;defis;2;Conflit entre raison et sentiment : maladresse affective, rationalisation des émotions. Aspect mineur, pas bloquant.;
Mercure;Mars;carré, opposition;defis;3.5;Langage tranchant, impatience mentale, impulsivité verbale. Irritant mais pas fondamentalement destructeur.;
Mercure;Jupiter;carré, opposition;defis;2.5;Jugements excessifs, croyances rigides, difficulté à concilier logique et foi. Aspect d’exagération intellectuelle.;
Mercure;Saturne;carré, opposition;defis;4.5;Blocage mental, peur de s’exprimer, pensée rigide. Profond et structurant.;
Mercure;Saturne;conjonction;mixte;4.5;Pensée structurée et lucide. Risque d’autocensure ou de rigidité mentale.;
Mercure;Neptune;carré, opposition;defis;4.5;Confusion, illusion mentale, déni ou fuite intellectuelle. Aspect “brouillard mental”.;
Mercure;Neptune;conjonction;mixte;4.5;Imagination subtile, pensée inspirée. Risque de flou ou de confusion intellectuelle.;
Mercure;Uranus;carré, opposition;defis;3.5;Esprit nerveux, provocateur, dispersion, tension mentale. Génial mais instable.;
Mercure;Uranus;conjonction;mixte;3.5;Esprit fulgurant et intuitif. Brillant mais nerveux/instable si mal cadré.;
Mercure;Pluton;conjonction, carré, opposition;defis;4.5;Pensée obsédante, hyper-analyse, paroles tranchantes. Profondeur mentale mais risque de manipulation ou d’autodestruction.;
Mercure;Rahu;conjonction;defis;4.5;Mental hyperactif, curiosité dévorante. Risque de rationaliser à l’excès ou de t’éparpiller dans les idées pour combler une soif de sens. Le défi : canaliser ton intelligence vers une parole claire et alignée, plutôt que dans la suranalyse.;
Mercure;Ketu;conjonction;defis;4;Détachement intellectuel, difficulté à communiquer spontanément. Pensée introspective, mais parfois coupée du concret. Le défi : réconcilier intuition et logique, reconnecter parole et ressenti.;
Mercure;Rahu;carré;defis;4.5;Esprit tiraillé entre compréhension rationnelle (Ketu) et recherche effrénée d’idées nouvelles (Rahu). Tu peux passer du doute excessif à la certitude dogmatique. Le défi : stabiliser ton mental et apprendre à écouter avant de répondre.;
Mercure;Vénus;conjonction, trigone, sextile;force;4;Diplomatie, éloquence, charme intellectuel. Talents artistiques et sens de la nuance. Communication douce et persuasive.;
Mercure;Mars;conjonction;mixte;4;Esprit vif, franc, réactif. Parole tranchante. Force d’action mentale mais risque de dureté. Peut devenir tranchant ou impatient si l’émotion prend le dessus.;
Mercure;Mars;trigone, sextile;force;4.5;Esprit vif et courageux. Réactivité mentale, clarté d’action et de parole. Précision et efficacité dans l’exécution.;
Mercure;Jupiter;conjonction, trigone, sextile;force;4.5;Vision large, sagesse intellectuelle. Optimisme, sens de la synthèse. Don pour enseigner, convaincre et transmettre.;
Mercure;Saturne;trigone, sextile;force;4.5;Esprit structuré, sérieux et discipliné. Clarté, rigueur et fiabilité mentale. Capacité à aller au fond des choses.;
Mercure;Neptune;trigone, sextile;force;4;Imagination fertile, intuition poétique. Pensée inspirée, don de perception subtile et d’empathie.;
Mercure;Uranus;trigone, sextile;force;4.5;Esprit novateur, intuitif et indépendant. Originalité mentale, fulgurances intellectuelles, vision futuriste.;
Mercure;Uranus;conjonction;mixte;4.5; Esprit intuitif et fulgurant. Brillant mais nerveux ou instable si mal canalisé.;
Mercure;Pluton;trigone, sextile;force;5;Lucidité perçante, pensée stratégique, parole transformatrice. Capacité à aller à la racine des vérités. Communication puissante et magnétique.;
Mercure;Pluton;conjonction;mixte;5;Intelligence perçante et stratégique. Peut basculer en obsession ou contrôle mental.;
Mercure;Rahu;trigone, sextile;force;3;Pensée innovante, communication magnétique.;
Mercure;Ketu;trigone, sextile;force;3;Sagesse mentale, pensée intuitive.;
Venus;Mars;carré, opposition;defis;4.5;Tension entre désir et douceur. Attraction intense mais conflictuelle, oscillation entre passion et irritation. Difficile d’équilibrer amour et désir.;
Venus;Jupiter;carré, opposition;defis;2.5;Excès affectif ou matériel. Générosité mal dosée, tendance à idéaliser ou à trop donner. Difficulté à poser des limites.;
Venus;Saturne;carré, opposition;defis;5;Blocages affectifs, peur du rejet ou du manque. Retenue dans l’expression amoureuse, besoin de contrôle émotionnel. Recherche de sécurité avant le plaisir.;
Venus;Saturne;conjonction;mixte;5;Attachement profond, fidélité, mais peur de l’abandon et retenue émotionnelle.;
Venus;Neptune;carré, opposition;defis;4.5;Amour idéalisé, illusions sentimentales. Tendance à se sacrifier ou à aimer des personnes inaccessibles. Risque de désillusion affective.;
Venus;Neptune;conjonction;mixte;4.5;Amour inspiré, fusionnel, mais tendance à idéaliser ou à se sacrifier.;
Venus;Uranus;carré, opposition;defis;4;Besoin de liberté amoureuse, peur de l’enfermement. Attirances soudaines et imprévisibles, instabilité relationnelle. Conjonction : amour libre ou instable, souvent rupture / indépendance. C’est un défi relationnel moderne plus que karmique.;
Venus;Uranus;conjonction;mixte;4;Amour libre et original, mais instabilité relationnelle fréquente.;
Venus;Pluton;conjonction, carré, opposition;defis;5;Passion absolue, jalousie, fusion ou contrôle. Relations intenses et transformatrices, souvent karmiques ou obsessionnelles.;
Venus;Rahu;conjonction;defis;4.5;Attirances intenses, fascination pour le désir et l’inaccessible. Les relations deviennent un terrain d’obsession ou de conquête. Le défi : aimer sans consumer, transformer la passion en engagement lucide.;
Venus;Ketu;conjonction;defis;4;Détachement affectif, peur de la dépendance ou refus de l’intimité. Tendance à rejouer un schéma d’amour sacrificiel ou d’évitement. Le défi : réapprendre à recevoir et à ressentir.;
Venus;Rahu;carré;defis;4.5;Tiraillement entre passion et désillusion. Tu oscilles entre désir excessif (Rahu) et fuite émotionnelle (Ketu). Le défi : trouver un amour équilibré, ni fusionnel ni distant.;
