ASTRE,DONNEE,VALEUR ,INTERPRETATION
NOEUDS,axe,bélier_balance,"Bélier: le soi, l'identité, je suis.
Balance: l'autre, le couple, le partenariat, la relation.
Axe de la relation, être soi-même dans la relation à l'autre, rentrer
en contact avec l'autre."
NOEUDS,axe,taureau_scorpion,"Taureau : la sécurité, le matériel, l'affectif, la certitude.
Scorpion: la rupture, le deuil, la psychanalyse, la remise en
question.
Axe de la sécurité, de la vie et de la mort, de la remise en
question, de la possession."
NOEUDS,axe,gémeaux_sagittaire,"Gémeaux : la dispersion, la découverte, l'oralité, la fratrie, la
réflexion, le mental.
Sagittaire : la transmission, les études, trouver sa place, avoir un
statut social.
Axe des études et de l'apprentissage, de la communication, de
l'entourage et du monde extérieur."
NOEUDS,axe,cancer_capricorne,"Cancer: la famille, les origines, le foyer, la mère, la sensibilité, la
dépendance affective. Capricorne : la loi, le monde extérieur, la
structure, le monde professionnel, le père.
Axe de la parentalité, de la construction familiale, des racines
du cadre."
NOEUDS,axe,lion_verseau,"Lion: le coeur, l'affectif, le rayonnement, la créativité, l'égo, la reconnaissance. Verseau: l'humanité, le groupe, les amitiés, les projets, l'indépendance, le détachement. Axe de l'égo, du rapport à soi et aux autres, de l'attachement."
NOEUDS,axe,vierge_poissons,"Vierge: le travail quotidien, la mise au service de l'autre, l'équilibre, la mesure. Poissons: le sauveur, la spiritualité, la fusion, la fuite, la confusion. Axe du sauveur, du rapport au travail, à l'amour, à la spiritualité."
NOEUDS,axe,1_7,"moi et l'autre, le couple, le retour à soi."
NOEUDS,axe,2_8,"la sécurité, la rupture, l'introspection, l'analyse."
NOEUDS,axe,3_9,"l'entourage, la communication, les études."
NOEUDS,axe,4_10,"la parentalité, la construction du foyer, le monde extérieur."
NOEUDS,axe,5_11,"les loisirs, les enfants, les projets et amitiés"
NOEUDS,axe,6_12,"le travail, le sauveur, l'aide aux autres."
NOEUD_NORD,Maison,1,"on doit aller vers le soi, vers son identité, avec le NS en 7 on a été trop dans l'énergie de l'autre, on doit revenir à soi même."
NOEUD_NORD,Maison,2,on doit aller vers le fait de gagner sa vie et sécuriser et sortir d'une vie faite de discontinuité (par peur) de la maison 8.
NOEUD_NORD,Maison,3,"aller vers la légereté, acquérir une certaine forme de détachement et de recul et sortir de la moralisation de la maison 9, aller vers sa fratrie, vers son entourage."
NOEUD_NORD,Maison,4,"aller vers sa famille, se reconnecter à sa famille, avec le NS en 10 on était trop tourné vers le monde extérieur et sur ses ambitions."
NOEUD_NORD,Maison,5,"On sort du grand tout collectif dépersonnalisé. On quitte les combat idéologiques, la dépersonnalisation affective pour se relier au coeur et à son propre rayonnement intérieur. Se reconnecter à la dimension affective, à son coeur, à son égo."
NOEUD_NORD,Maison,6,"On quitte le sauveur sacrificiel du sauveur et le tout spirituel pour trouver un métier rattaché au concret et utile. Aller vers le fait d'aider mais de manière plus juste et plus concrète comme la vierge. Souvent avec cette configuration, un peu difficile de trouver sa vie professionnelle)."
NOEUD_NORD,Maison,7,"On doit aller vers l'autre, et quitter un certain égocentrisme violent, colérique, imposant aux autres ses désirs pour aller vers la relation à l'autre, se relier à l'autre en acceptant de faire des compromis. Ne plus être uniquement en lien avec soi mais aller vers l'autre."
NOEUD_NORD,Maison,8,"on doit couper avec les attachements de la 2, quitter le besoin d'hyper-sécurité, le besoin d'accumuler des biens et de l'argent pour accepter de vivre des changements et des transformations.,Accéder à un univers psychanalytique et inconscient, de remise en question et d'approfondissement de soi."
NOEUD_NORD,Maison,9,"Quitter la dispersion, le fait de ne jamais se poser quelque part et le refus de l'argent, de la résussite et de la reconnaissnce sociale pour prendre sa place véritable en accédant à un statiut spcialm et en concrétisant ses talents. Aller vers de la responsabilisation, une posture d'adulte. "
NOEUD_NORD,Maison,10,"on quitte le giron familial, l'enfermement originel pour aller vers sa vocation, vers le monde extérieur, vers ses ambitions, construire en autonomie sa vie professionnelle. "
NOEUD_NORD,Maison,11,"on se libère des attachements et de l'égo du lion, pour se tourner vers le collectif et les projets à grande échelle. Quitter le besoin absolu de reconnaissance et debriller à tout prix pour aller vers le groupe, le collectif, les projets utiles ppur les autres et le monde, revenir dans la sphère de l'esprit. "
NOEUD_NORD,Maison,12,"Quitter la riidité et une existence laborieuse et rangée pour ouvrir son coeur aux autres et s'ouvrir à la spiritualité. Aller dans une posture de lâcher prise, délaisser ses règles morales strictes et son besoin de contrôle, lâcher prise sur le mental."
NOEUD_NORD,Signe,bélier,"Le Nœud Nord en Bélier invite à un projet d'affirmation identitaire radical : apprendre à exister pleinement sans compromis ni adaptation permanente aux attentes d'autrui. Il s'agit de sortir de la dépendance affective et du besoin d'approbation pour développer une capacité d'affirmation combative. Les apprentissages clés consistent à comprendre que le conflit n'est ni dangereux ni négatif, oser dire non et s'opposer, exprimer ses désirs et sa volonté sans attendre le regard des autres. Le projet karmique invite à transcender les règles imposées par besoin d'harmonie relationnelle, développer une impulsion personnelle dynamique, et passer à l'action avec confiance en sa capacité d'agir et de décider. L'enjeu central est de passer de l'harmonisation permanente à l'affirmation de son identité propre, d'être pleinement soi-même dans toute sa personnalité, avec la liberté de ne plus dépendre de l'amour ou de la cohésion pour exister."
NOEUD_SUD,signe,balance,"Le Nœud Sud en Balance révèle des mémoires karmiques d'une vie harmonieuse et sereine en apparence, marquée par des relations sociales et sentimentales réussies mais qui sont restées en surface. Les vies antérieures portent la marque de compromis constants, d'une adaptation permanente aux attentes d'autrui par besoin d'amour et par peur du conflit. Tu as épousé le modèle conventionnel d'une communauté ou d'un partenaire, privilégiant l'harmonie relationnelle au détriment de ton authenticité. Les valeurs étaient traditionnelles et bornées, les relations conventionnelles et socialement acceptables mais fondamentalement superficielles. Dans cette vie, tu portes encore cette tendance naturelle à te modifier pour l'autre et à chercher la cohésion à tout prix, ce qui constitue ta zone de confort karmique mais aussi ce qui doit être transcendé pour évoluer vers l'affirmation de soi du Nœud Nord en Bélier."
NOEUD_NORD,Signe,taureau,"Le Nœud Nord en Taureau invite à se détourner du besoin de passion, de conflit et d'aventure pour apprendre la simplicité, la routine et la tranquillité. Il s'agit de se poser dans une vie stable et sédentaire, de construire sa propre sécurité matérielle et affective, et d'accepter une existence ancrée et sereine. Le projet karmique consiste à ne plus rechercher constamment la guerre ou l'intensité émotionnelle pour vibrer, mais à se réconcilier avec le calme sans le mépriser comme ennuyeux. Les apprentissages clés invitent à accepter des relations stables et fidèles, développer une profession solide et fiable, et s'engager dans la durée sans tout rejeter dès qu'une difficulté arrive. L'enjeu central est de construire une sécurité intérieure authentique, de rechercher une quiétude véritable, et de gérer les obstacles avec sérénité plutôt que de fuir vers l'intensité. Il s'agit d'apprendre à valoriser la stabilité, l'ancrage matériel et affectif, et d'accepter une vie posée sans juger ces choix comme limitants ou insatisfaisants."
NOEUD_SUD,signe,scorpion,"Le Nœud Sud en Scorpion révèle des mémoires karmiques de vies antérieures marquées par la discontinuité, les ruptures constantes, la passion déchirante, la violence et le conflit permanent. Tu as vécu dans une insécurité totale, possiblement avec une attirance pour l'occulte, la magie noire et les travaux ésotériques sombres, dans un refus d'engagement global et une existence chaotique. Des traumatismes profonds ont pu marquer ces vies passées. Dans l'incarnation présente, l'enfance a souvent réactivé ces mémoires scorpioniques : anxiétés précoces, sentiment d'agression ou de danger, agressivité refoulée, et une fascination mêlée de répulsion pour la mort, la violence et l'occulte. Ces patterns karmiques constituent ta zone de confort inconsciente, celle où l'intensité émotionnelle et le chaos deviennent paradoxalement rassurants. Le défi est de reconnaître cette tendance naturelle à rechercher la passion destructrice et l'insécurité pour apprendre à s'en détourner progressivement, en acceptant de vivre dans la routine, la tranquillité et la simplicité du Nœud Nord en Taureau."
NOEUD_NORD,Signe,gémeaux,"Le Nœud Nord en Gémeaux invite à aller vers la légèreté, la simplicité et la proximité relationnelle après avoir été coupé des autres par un besoin d'ascension sociale et de réussite dans les vies antérieures. Il s'agit de se rapprocher de son entourage proche dans une vraie égalité, de descendre de son piédestal pour rencontrer les autres d'égal à égal, et de rechercher une communication horizontale plutôt que verticale. Le projet karmique consiste à apprendre à écouter véritablement au lieu de dominer la conversation ou de se positionner en supériorité, à développer la curiosité et l'échange simple plutôt que le besoin de briller ou d'enseigner. Les apprentissages clés invitent à trouver ou créer une fratrie symbolique à l'âge adulte, un clan familial où règne l'égalité, et à comprendre que la recherche d'une position privilégiée freine justement ces liens authentiques. L'enjeu central est de renoncer à l'excès et à la grandiloquence hérités du passé épicurien pour embrasser le quotidien, le relationnel simple et authentique. Il s'agit d'ouvrir son esprit pour communiquer non seulement pour apprendre aux autres mais surtout pour apprendre d'eux, en leur laissant leur place sans chercher à la prendre pour se rassurer sur sa propre légitimité."
NOEUD_SUD,signe,sagittaire,"Le Nœud Sud en Sagittaire révèle des mémoires karmiques de vies antérieures marquées par le luxe, l'apparât et l'ascension sociale dans des milieux privilégiés. Tu as vécu en prélat, dans la noblesse, l'aristocratie ou la bourgeoisie, avec un rapport au pouvoir social et une recherche de reconnaissance par le savoir et le statut. Ces vies étaient caractérisées par l'épicurisme, la profusion et le plaisir, où tu as pris toute la place pour t'enrichir et réussir socialement. Tu as pu être très écrasant vis-à-vis des autres, profitant de ton statut pour leur refuser une place que tu t'octroyais, te positionnant constamment en supériorité et te séparant d'eux par ce sentiment de grandeur. Dans l'incarnation présente, tu portes encore cette image personnelle ambitieuse et cette tendance aux excès, avec un karma physique qui rend le corps moins tolérant en cas d'abus. La recherche d'insertion sociale peut rester démesurée, créant une difficulté à te lier à ton entourage et à communiquer de façon horizontale, d'égal à égal. Cette quête de réussite et de grandeur continue de te couper des autres et constitue ta zone de confort karmique qu'il s'agit de transcender pour retrouver le dialogue fraternel et une vie plus intime et légère."
NOEUD_NORD,Signe,cancer,"Le Nœud Nord en Cancer invite à se reconnecter à ses émotions, sa sensibilité et l'amour après des vies marquées par la rigidité patriarcale. Il s'agit de passer du modèle paternel autoritaire au modèle maternel affectueux, de construire un foyer chaleureux et une famille heureuse, et de se laisser guider par ses ressentis et intuitions plutôt que par l'ambition et la rationalité. Le projet karmique consiste à dépasser la rudesse intérieure héritée du passé, cette difficulté à explorer et dévoiler ses sentiments, pour accueillir pleinement sa subjectivité et son vécu émotionnel. Les apprentissages clés invitent à ne plus se raccrocher uniquement au besoin de sécurité matérielle et de contrôle, mais à laisser place à l'accueil des émotions et à vivre dans les liens du cœur. L'enjeu central est de construire un nouveau modèle familial plus aimant tout en respectant une certaine lignée et des traditions choisies, de faire de son foyer une réussite affective, et de se reconnecter à la sphère sentimentale et émotionnelle. Il s'agit d'apprendre que ce ne sont plus les ambitions, la rationalité et le sérieux qui doivent guider les choix de vie, mais les intuitions, les émotions et l'amour, sans les mépriser. La construction du foyer sera essentielle mais pourra être complexe en raison de l'enfance rude qui a réactivé les mémoires du Nœud Sud en Capricorne."
