PLANETE_1,PLANETE_2,ASPECTS,TYPE,SCORE,COMMENTAIRE
Soleil,Lune,"carré, opposition",defis,5,"Conflit entre volonté consciente et besoins émotionnels. Tension entre action et sécurité intérieure, souvent héritée du rapport parental."
Soleil,Mercure,"carré, opposition",defis,2.5,"Discorde entre ego et pensée. Difficulté à exprimer clairement sa volonté, tendance à vouloir toujours avoir raison."
Soleil,Venus,"carré, opposition",defis,2.5,Dissonance entre affirmation de soi et besoin d’amour. Peut créer charme et charme-résistance : attirer mais craindre l’attachement.
Soleil,Mars,"carré, opposition",defis,4.5,Volonté vs impulsivité. Conflit entre affirmation et agressivité. Risque d’épuisement ou d’autoritarisme si mal canalisé.
Soleil,Jupiter,"carré, opposition",defis,3.5,"Tendance à la démesure, excès de confiance ou idéal grandiose. Besoin de réaligner ambition et sens moral."
Soleil,Saturne,"conjonction, carré, opposition",defis,5,"Blocage de la confiance en soi, complexe d’infériorité, peur de l’échec. Appel à construire une autorité intérieure authentique."
Soleil,Neptune,"conjonction, carré, opposition",defis,4.5,"Ego poreux, risque d’illusion ou de désillusion. Tendance à se sacrifier ou à se perdre dans des idéaux flous."
Soleil,Uranus,"conjonction, carré, opposition",defis,4,"Besoin d’indépendance extrême, rébellion contre toute autorité. Volonté de liberté parfois destructrice si non canalisée."
Soleil,Pluton,"conjonction, carré, opposition",defis,5,"Crise d’identité profonde. Rapport au pouvoir, contrôle, transformation radicale du soi. Grande intensité de volonté."
Lune,Mercure,"carré, opposition",defis,3,"Dissonance entre émotions et raison. Difficulté à verbaliser ce qu’on ressent, pensées changeantes selon l’humeur."
Lune,Venus,"carré, opposition",defis,3.5,"Besoin d’amour en tension avec la sécurité affective. Recherche d’approbation, dépendance émotionnelle ou affective."
Lune,Mars,"conjonction, carré, opposition",defis,5,"Émotivité explosive, colère intériorisée ou défensive. Réactivité immédiate aux frustrations. Grande intensité affective à canaliser."
Lune ,Jupiter,"carré, opposition",defis,2.5,"Émotions amplifiées, exagération affective. Besoin excessif de réassurance, tendance à dramatiser."
Lune,Saturne,"conjonction, carré, opposition",defis,5,"Blocage émotionnel profond, peur de ne pas être aimé. Solitude affective, difficulté à se consoler. Résilience par la maturité."
Lune,Neptune,"conjonction, carré, opposition",defis,4.5,"Hypersensibilité, confusion entre ressenti et idéal. Risque d’illusion affective, d’oubli de soi ou de fuite émotionnelle."
Lune,Uranus,"conjonction, carré, opposition",defis,4,"Instabilité émotionnelle, besoin de liberté affective. Oscillation entre fusion et détachement. Rejet des dépendances."
Lune,Pluton,"conjonction, carré, opposition",defis,5,"Intensité émotionnelle extrême, peur de l’abandon. Besoin de contrôle sur les liens intimes. Transformation affective profonde."
Mercure,Venus,"carré, opposition",defis,2,"Conflit entre raison et sentiment : maladresse affective, rationalisation des émotions. Aspect mineur, pas bloquant."
Mercure,Mars,"carré, opposition",defis,3.5,"Langage tranchant, impatience mentale, impulsivité verbale. Irritant mais pas fondamentalement destructeur."
Mercure,Jupiter,"carré, opposition",defis,2.5,"Jugements excessifs, croyances rigides, difficulté à concilier logique et foi. Aspect d’exagération intellectuelle."
Mercure,Saturne,"conjonction, carré, opposition",defis,4.5,"Blocage mental, peur de s’exprimer, pensée rigide. Profond et structurant."
Mercure,Neptune,"conjonction, carré, opposition",defis,4.5,"Confusion, illusion mentale, déni ou fuite intellectuelle. Aspect “brouillard mental”."
Mercure,Uranus,"conjonction, carré, opposition",defis,3.5,"Esprit nerveux, provocateur, dispersion, tension mentale. Génial mais instable."
Mercure,Pluton,"conjonction, carré, opposition",defis,4.5,"Pensée obsédante, hyper-analyse, paroles tranchantes. Profondeur mentale mais risque de manipulation ou d’autodestruction."
Venus,Mars,"conjonction, carré, opposition",defis,4.5,"Tension entre désir et douceur. Attraction intense mais conflictuelle, oscillation entre passion et irritation. Difficile d’équilibrer amour et désir."
Venus,Jupiter,"carré, opposition",defis,2.5,"Excès affectif ou matériel. Générosité mal dosée, tendance à idéaliser ou à trop donner. Difficulté à poser des limites."
Venus,Saturne,"conjonction, carré, opposition",defis,5,"Blocages affectifs, peur du rejet ou du manque. Retenue dans l’expression amoureuse, besoin de contrôle émotionnel. Recherche de sécurité avant le plaisir."
Venus,Neptune,"conjonction, carré, opposition",defis,4.5,"Amour idéalisé, illusions sentimentales. Tendance à se sacrifier ou à aimer des personnes inaccessibles. Risque de désillusion affective."
Venus,Uranus,"conjonction, carré, opposition",defis,4,"Besoin de liberté amoureuse, peur de l’enfermement. Attirances soudaines et imprévisibles, instabilité relationnelle. Conjonction : amour libre ou instable, souvent rupture / indépendance. C’est un défi relationnel moderne plus que karmique."
