PLANETE_1;PLANETE_2;ASPECTS;TYPE;SCORE;COMMENTAIRE
Soleil;Lune;trigone, sextile;force;5;Harmonie intérieure. Équilibre entre raison et émotion. Unité du masculin et du féminin, stabilité émotionnelle.
Soleil;Mercure;conjonction, trigone, sextile;force;4.5;Esprit clair, expression naturelle du soi. Intelligence pratique, cohérence entre pensée et volonté.
Soleil;Vénus;conjonction, trigone, sextile;force;4;Charme, charisme, douceur solaire. Capacité à unir amour et affirmation de soi. Don pour créer l’harmonie.
Soleil;Mars;trigone, sextile;force;4.5;Courage, initiative, leadership naturel. Force d’action équilibrée. Capacité à aller au bout des projets.
Soleil;Jupiter;trigone, sextile;force;4.5;Optimisme, confiance, foi en soi. Don pour inspirer et enseigner. Vision constructive et généreuse.
Soleil;Saturne;trigone, sextile;force;4;Maturité, sens des responsabilités. Capacité à bâtir solidement et durablement. Leadership structuré.
Soleil;Neptune;trigone, sextile;force;3.5;Intuition, créativité spirituelle, compassion. Fusion entre idéal et volonté. Vision poétique du monde.
Soleil;Uranus;trigone, sextile;force;4;Originalité, indépendance, créativité libre. Capacité à inspirer les autres par sa singularité.
Soleil;Pluton;trigone, sextile;force;5;Charisme puissant, transformation intérieure. Pouvoir de régénération et de magnétisme personnel.
;;;;;
Lune;Mercure;conjonction, trigone, sextile;force;4.5;Intelligence émotionnelle, communication fluide des sentiments. Capacité à traduire les émotions en mots clairs.
Lune;Vénus;conjonction, trigone, sextile;force;4.5;Tendresse, charme, empathie. Grande sensibilité affective, chaleur naturelle, don pour apaiser ou aimer.
Lune;Mars;trigone, sextile;force;4;Énergie émotionnelle équilibrée. Courage de ressentir et d’agir. Bonne spontanéité, initiative sans impulsivité.
Lune;Jupiter;conjonction, trigone, sextile;force;4.5;Générosité, joie, optimisme émotionnel. Capacité à rayonner la bienveillance, chaleur du cœur.
Lune;Saturne;trigone, sextile;force;4;Stabilité intérieure, maîtrise émotionnelle. Résilience face à l’adversité, loyauté, fiabilité affective.
Lune;Neptune;conjonction, trigone, sextile;force;4.5;Compassion, inspiration, imagination fertile. Grande empathie, sens artistique et intuition raffinée.
Lune;Uranus;trigone, sextile;force;4;Intuition vive, émotion indépendante. Capacité à évoluer rapidement sans rupture intérieure. Sensibilité visionnaire.
Lune;Pluton;trigone, sextile;force;5;Profondeur émotionnelle, force de régénération. Capacité à guérir et à accompagner les autres dans leurs transformations.
;;;;;
Mercure;Vénus;conjonction, trigone, sextile;force;4;Diplomatie, éloquence, charme intellectuel. Talents artistiques et sens de la nuance. Communication douce et persuasive.
Mercure;Mars;trigone, sextile;force;4.5;Esprit vif et courageux. Réactivité mentale, clarté d’action et de parole. Précision et efficacité dans l’exécution.
Mercure;Jupiter;conjonction, trigone, sextile;force;4.5;Vision large, sagesse intellectuelle. Optimisme, sens de la synthèse. Don pour enseigner, convaincre et transmettre.
Mercure;Saturne;trigone, sextile;force;4.5;Esprit structuré, sérieux et discipliné. Clarté, rigueur et fiabilité mentale. Capacité à aller au fond des choses.
Mercure;Neptune;trigone, sextile;force;4;Imagination fertile, intuition poétique. Pensée inspirée, don de perception subtile et d’empathie.
Mercure;Uranus;conjonction, trigone, sextile;force;4.5;Esprit novateur, intuitif et indépendant. Originalité mentale, fulgurances intellectuelles, vision futuriste.
Mercure;Pluton;trigone, sextile;force;5;Lucidité perçante, pensée stratégique, parole transformatrice. Capacité à aller à la racine des vérités. Communication puissante et magnétique.
;;;;;
Vénus;Mars;trigone, sextile;force;4.5;Équilibre entre désir et tendresse. Charme magnétique, sensualité naturelle. Passion harmonieuse, élan amoureux bien canalisé.
Vénus;Jupiter;conjonction, trigone, sextile;force;5;Générosité affective, joie de vivre, chaleur du cœur. Aspect d’abondance et de chance relationnelle. Magnétisme social et créativité.
Vénus;Saturne;trigone, sextile;force;4;Stabilité affective, fidélité, amour durable. Capacité à construire sur la durée sans perdre la tendresse. Maturité émotionnelle.
Vénus;Neptune;conjonction, trigone, sextile;force;4.5;Amour spirituel, romantisme, compassion. Don artistique, imagination fertile. Fusion sensible sans perte de soi.
Vénus;Uranus;trigone, sextile;force;4;Charme original, amour libre et conscient. Capacité à aimer sans dépendance. Créativité relationnelle moderne.
Vénus;Pluton;trigone, sextile;force;5;Intensité amoureuse profonde. Pouvoir de transformation par l’amour. Magnétisme puissant, passion vécue avec conscience.
;;;;;
Mars;Jupiter;conjonction, trigone, sextile;force;4.5;Enthousiasme, dynamisme, ambition expansive. Foi en soi, esprit de conquête positif. Capacité à mobiliser les autres.
Mars;Saturne;trigone, sextile;force;4.5;Discipline et endurance. Capacité à structurer l’action et à atteindre ses objectifs. Force tranquille, courage maîtrisé.
Mars;Neptune;trigone, sextile;force;4;Action inspirée, créativité incarnée. Courage subtil, capacité à agir selon l’intuition. Aspect des artistes engagés.
Mars;Uranus;trigone, sextile;force;4.5;Réactivité, audace, esprit d’innovation. Action rapide et visionnaire. Initiative indépendante et originale.
Mars;Pluton;trigone, sextile;force;5;Puissance maîtrisée, transformation par l’action. Grande force intérieure, magnétisme et instinct de survie élevé.
;;;;;
Jupiter;Saturne;trigone, sextile;force;3.5;Équilibre entre foi et réalisme. Ambition mesurée, réussite construite. Stabilité morale et maturité dans les choix.
Jupiter;Neptune;conjonction, trigone, sextile;force;3.5;Idéalisme inspiré, compassion, spiritualité fluide. Vision mystique ou humaniste constructive.
Jupiter;Uranus;conjonction, trigone, sextile;force;3.5;Ouverture d’esprit, innovation sociale. Capacité à inspirer et à libérer les consciences. Esprit avant-gardiste.
Jupiter;Pluton;conjonction, trigone, sextile;force;4;Pouvoir d’influence, transformation par la foi et la connaissance. Charisme magnétique, force de conviction.
;;;;;
Saturne;Neptune;trigone, sextile;force;3.5;Capacité à donner forme à l’inspiration. Créativité ancrée, spiritualité réaliste. Union entre rêve et construction.
Saturne;Uranus;trigone, sextile;force;3.5;Esprit d’innovation structuré. Capacité à réformer sans tout casser. Discipline souple et vision moderne.
Saturne;Pluton;trigone, sextile;force;4;Pouvoir de reconstruction. Endurance psychique, force dans l’adversité. Leadership silencieux et profond.
;;;;;
Neptune;Uranus;conjonction, trigone, sextile;force;3;Intuition visionnaire, génie spirituel. Créativité innovante, sensibilité collective futuriste.
Neptune;Pluton;conjonction, trigone, sextile;force;3;Transformation spirituelle, compassion puissante. Connexion mystique profonde. Intuition de guérison collective.
;;;;;
Uranus;Pluton;conjonction, trigone, sextile;force;3;Transformation radicale, puissance visionnaire. Capacité à libérer profondément. Réformateur né.
;;;;;
;;;;;
Soleil;Uranus;conjonction;mixte;4.5;Génie créatif et liberté d’être, mais risque de rejet de toute autorité. Autonomie brillante si assumée.
Soleil;Neptune;conjonction;mixte;4;Idéal spirituel puissant, intuition et empathie. Peut se perdre dans l’image de soi ou les illusions.
Soleil;Saturne;conjonction;mixte;4.5;Discipline, ambition, rigueur. Peut virer à l’autocensure ou à la peur d’échouer.
