ASTRE,DONNEE,VALEUR,INTERPRETATION
part_de_fortune,soleil,conjonction,"Le pouvoir personnel est présent, la confiance en soi sera soutenue,
le rayonnement et les capacités créatives. La relation au père
pourra constituer une aide précieuse dans la vie, permettant
d'imposer sa propre autorité dans la vie, guidant les autres avec sa
propre lumière. L'expression, la mise en valeur de soi seront
facilitées, rôle protecteur et généreux. L'égo s'accomplira dans le
don"
part_de_fortune,soleil,opposition,"Le pouvoir personnel est présent, la confiance en soi sera soutenue,
le rayonnement et les capacités créatives. La relation au père
pourra constituer une aide précieuse dans la vie, permettant
d'imposer sa propre autorité dans la vie, guidant les autres avec sa
propre lumière. L'expression, la mise en valeur de soi seront
facilitées, rôle protecteur et généreux. L'égo s'accomplira dans le
don"
part_de_fortune,lune,conjonction,"La famille, le lien à la mère seront des soutiens précieux vers
l'épanouissement, le sentiment de sécurité, la constitution de racines,
la base. La popularité sera de mise, avec la tenue d'un rôle
publique, ou aider les autres, être dans une position maternelle. Les
émotions, l'imagination, la vie intérieure seront agréables et aidants
dans la vie, et seront comme une nourriture pour le bien être global."
part_de_fortune,lune,opposition,"La famille, le lien à la mère seront des soutiens précieux vers
l'épanouissement, le sentiment de sécurité, la constitution de racines,
la base. La popularité sera de mise, avec la tenue d'un rôle
publique, ou aider les autres, être dans une position maternelle. Les
émotions, l'imagination, la vie intérieure seront agréables et aidants
dans la vie, et seront comme une nourriture pour le bien être global. En opposition c'est un peu atténuée, retenez bien que l’opposition dit la même chose mais amène un petit côté un peu plus dissonant. L’opposition de la lune à la part de fortune peut apporter un peu de pessimisme."
part_de_fortune,mercure,conjonction,"L'intelligence, la réflexion, seront des soutiens, facilitant la vie du
natif. Les amis, la fratrie, l'entourage permettront des qualités
d'adaptation, de sociabilité, de facilité. Communication verbale de
qualité, expression orale charismatique, éloquence, facilité pour
transmettre ses idées, avec un épanouissement dans le dialogue,
l'échange d'idées, la complicité.
La curiosité permet l'accès une culture générale."
part_de_fortune,mercure,opposition,"L'intelligence, la réflexion, seront des soutiens, facilitant la vie du
natif. Les amis, la fratrie, l'entourage permettront des qualités
d'adaptation, de sociabilité, de facilité. Communication verbale de
qualité, expression orale charismatique, éloquence, facilité pour
transmettre ses idées, avec un épanouissement dans le dialogue,
l'échange d'idées, la complicité.
La curiosité permet l'accès une culture générale. même signification, mais aura tendance à créer une certaine dualité intérieure, une certaine duplicité, un côté un peu double qui fait qu’on ne se montre pas complètement tel que l’on est au premier abord."
part_de_fortune,venus,conjonction,"L'harmonie personnelle sera obtenue à travers les rencontres, le
respect de ses propres valeurs, le bien être matériel et le confort de
vie. Le charme est évident, créant l'attirance des bonnes personnes,
des situations bénéfiques. Côté artistique développé, facilité à jouer
le médiateur, à apaiser. Vie sentimentale facilitée.
Valeurs du bien, du beau, du vrai qui permettent le bien être."
part_de_fortune,venus,opposition,"""L'harmonie personnelle sera obtenue à travers les rencontres, le
respect de ses propres valeurs, le bien être matériel et le confort de
vie. Le charme est évident, créant l'attirance des bonnes personnes,
des situations bénéfiques. Côté artistique développé, facilité à jouer
le médiateur, à apaiser. Vie sentimentale facilitée.
Valeurs du bien, du beau, du vrai qui permettent le bien être.
Vénus en opposition : même signification, mais pourra amener quelques complexes physiques."
part_de_fortune,mars,conjonction,"La personne ne manque pas d'énergie, de vitalité, d'activité, de bien
être physique. Permet d'entreprendre, de mener à bien des projets
avec un vrai dynamisme. Leader naturel qui transmet son
enthousiasme, qui motive les autres à se mettre en action, en les
stimulant. Vie active, compétitivité, développement de sa force, de
son courage, de l'esprit combatif."
part_de_fortune,mars,opposition,"""La personne ne manque pas d'énergie, de vitalité, d'activité, de bien
être physique. Permet d'entreprendre, de mener à bien des projets
avec un vrai dynamisme. Leader naturel qui transmet son
enthousiasme, qui motive les autres à se mettre en action, en les
stimulant. Vie active, compétitivité, développement de sa force, de
son courage, de l'esprit combatif."" 
Mars en opposition : même signification, mais Mars sera un peu dissonant, il pourra apporter des tensions, un peu de colère."
part_de_fortune,jupiter,conjonction,"La chance fera partie de la vie de la personne, comme une évidence. Il y aura toujours quelqu'un pour aider, une bonne
rencontre au bon moment. L'épanouissement social sera favorisé,
l'enthousiasme et la joie permettront un bien être dans un rôle de
guide, mettant les gens en confiance. Vie morale et sociale,
expansion et développement de soi. Engagement fort, générosité,
convictions qui solidifient. Épanouissement en dépassant ses limites."
part_de_fortune,jupiter,opposition,"""La chance fera partie de la vie de la personne, comme une évidence. Il y aura toujours quelqu'un pour aider, une bonne
rencontre au bon moment. L'épanouissement social sera favorisé,
l'enthousiasme et la joie permettront un bien être dans un rôle de
guide, mettant les gens en confiance. Vie morale et sociale,
expansion et développement de soi. Engagement fort, générosité,
convictions qui solidifient. Épanouissement en dépassant ses limites."" -
upiter en opposition : même signification, mais on aura un tempérament excessif, des désirs de réussite excessifs."
part_de_fortune,saturne,conjonction,"Sens des responsabilités, maîtrise de soi et de ses tâches, suscitant
le respect d'autrui. Source de stabilité constructive qui permet un
épanouissement dans un rôle de direction. Élévation spirituelle et
intérieure, compréhension de sa vraie nature. La patience, la
profondeur, le temps, la solitude seront des alliés précieux au plein
épanouissement. Précision, rigueur, justesse, pour servir la réussite
professionnelle, pour acquérir du pouvoir personnel.
Le rapport au père et au cadre transmis seront des atouts. "
part_de_fortune,saturne,opposition,"""Sens des responsabilités, maîtrise de soi et de ses tâches, suscitant
le respect d'autrui. Source de stabilité constructive qui permet un
épanouissement dans un rôle de direction. Élévation spirituelle et
intérieure, compréhension de sa vraie nature. La patience, la
profondeur, le temps, la solitude seront des alliés précieux au plein
épanouissement. Précision, rigueur, justesse, pour servir la réussite
professionnelle, pour acquérir du pouvoir personnel.
Le rapport au père et au cadre transmis seront des atouts. 
Saturne en opposition : même signification, mais on aura parfois des indécisions importantes, un sentiment de lourdeur, et il peut se passer du temps avant de réussir à intégrer le potentiel de sa part de Fortune."
part_de_fortune,uranus,conjonction,"Affranchissement et affirmation au sein de groupes ou de
collectifs, solidarités et oeuvre humanitaire seront des sources
d'épanouissement. Originalité qui suscite l'intérêt, source d'espoir et
de progrès qui inspire. Diffuse le moyen d'accéder à sa liberté, son
indépendance.
Sons sens de la solidarité permettra un bien être auprès des amis,
les aidant à se libérer des contraintes.donnera parfois des surprises, des retournements dans la vie, où le hasard peut nous surprendre, souvent au gré de certaines rencontres. On pourra réussir dans des métiers d’indépendant, s’accomplir dans des voies anti conventionnelles."
part_de_fortune,uranus,opposition,"""Affranchissement et affirmation au sein de groupes ou de
collectifs, solidarités et oeuvre humanitaire seront des sources
d'épanouissement. Originalité qui suscite l'intérêt, source d'espoir et
de progrès qui inspire. Diffuse le moyen d'accéder à sa liberté, son
indépendance.
Sons sens de la solidarité permettra un bien être auprès des amis,
les aidant à se libérer des contraintes.donnera parfois des surprises, des retournements dans la vie, où le hasard peut nous surprendre, souvent au gré de certaines rencontres. On pourra réussir dans des métiers d’indépendant, s’accomplir dans des voies anti conventionnelles. -Uranus en opposition : même signification, mais Uranus pourra apporter un tempérament un peu électrique, de la nervosité."
part_de_fortune,neptune,conjonction,"Les dons psychiques seront précieux pour s'épanouir dans la
spiritualité, le dévouement, la foi. L'aura sera puissante pour
inspirer les autres, devenir médium ou guide spirituel. Les intuitions
seront fortes, l'accès à sa propre providence également.
Sens du sacré, satisfaction en oeuvrant dans une cause qui lui
permet d'aider, d'aimer, de faire preuve de compassion."
part_de_fortune,neptune,opposition,"Les dons psychiques seront précieux pour s'épanouir dans la
spiritualité, le dévouement, la foi. L'aura sera puissante pour
inspirer les autres, devenir médium ou guide spirituel. Les intuitions
seront fortes, l'accès à sa propre providence également.
Sens du sacré, satisfaction en oeuvrant dans une cause qui lui
permet d'aider, d'aimer, de faire preuve de compassion.
Neptune en opposition : même signification, mais il y a l’effet de flou et de brouillard."
part_de_fortune,pluton,conjonction,"Les virages de l'existence, les transformations, seront source
d'élévation, avec des soutiens forts dans ces tournants. Pouvoir,
magnétisme, aura mystique attireront les autres, avec une aisance
financière qui donnera de la puissance. Les métamorphoses seront
intenses et salvatrices, l'accès à son inconscient sera aisé,
permettant d'aller dans des investigations très enrichissantes."
part_de_fortune,pluton,opposition,"Les virages de l'existence, les transformations, seront source
d'élévation, avec des soutiens forts dans ces tournants. Pouvoir,
magnétisme, aura mystique attireront les autres, avec une aisance
financière qui donnera de la puissance. Les métamorphoses seront
intenses et salvatrices, l'accès à son inconscient sera aisé,
permettant d'aller dans des investigations très enrichissantes.
Pluton en opposition : même signification, mais peut amener des peurs de se faire dépasser par sa volonté de pouvoir, des peurs de trop en faire."
part_de_fortune,lune_noire,conjonction,"cette conjonction indique très souvent que le sujet positif de la part de Fortune a déjà été vécu dans la vie passée. La présence de la lune noire indique cependant qu’il y a nécessité de remettre des choses en question, c’est à dire que l’on va vivre la même chose, on peut revivre une partie de la situation de la vie passée, jouir de la même chance que celle reçue dans la vie passée, mais il faudra peut être faire différemment dans cette vie. Avec la lune noire conjointe à la part de Fortune, on peut se méfier de la chance, parce qu'on l’a déjà vécue et on n'a pas envie de refaire pareil. On ne fera pas la même chose de sa chance."
part_de_fortune,lune_noire,opposition,"cette conjonction indique très souvent que le sujet positif de la part de Fortune a déjà été vécu dans la vie passée. La présence de la lune noire indique cependant qu’il y a nécessité de remettre des choses en question, c’est à dire que l’on va vivre la même chose, on peut revivre une partie de la situation de la vie passée, jouir de la même chance que celle reçue dans la vie passée, mais il faudra peut être faire différemment dans cette vie. Avec la lune noire conjointe à la part de Fortune, on peut se méfier de la chance, parce qu'on l’a déjà vécue et on n'a pas envie de refaire pareil. On ne fera pas la même chose de sa chance.-La lune noire en opposition : même signification, mais moins ambigüe car il y a une séparation. On peut plus facilement réussir à mettre en place un scénario différent."
part_de_fortune,noeud_nord,conjonction,"peut aussi indiquer une certaine chance vécue dans le passé, mais peut être dont nous allons devoir faire le deuil. Un souvenir karmique d’une certaine facilité vécue dans le passé, et dans cette vie on ne va peut être pas retrouver vraiment la même facilité. On va devoir faire sans, faire les choses différemment. Comme c’est au noeud sud, on s‘éloigne du noeud sud et de la part de Fortune, pour aller vers autre chose. Peut donner une certaine confiance en la vie, comme on l’a vécue dans le passé, naturellement, on va avoir confiance ce qui nous facilite les choses."
part_de_fortune,noeud_sud,conjonction,"va indiquer le fait de renouer avec ce potentiel de chance, mais la part de fortune n’est pas directement accessible. Il faudra, comme pour le noeud nord, travailler pour y arriver. Mais une fois que le noeud nord est atteint, on a comme une double récompense, un bien être puissant, de grandes facilités qui vont nous arriver dans la vie."
part_de_fortune,ascendant,conjonction,"peut amener une réussite personnelle, et un certain bien être dans le fait d’être soi même. En astrologie traditionnelle on dit que ça peut amener une fortune, une chance soudaine dans la vie, selon le signe et planètes en aspects."
part_de_fortune,descendant,conjonction,"peut amener de belles rencontres et du bonheur dans le mariage, mais on voit sa chance à travers l’autre, son bien être à travers l’autre, créant un peu de dépendance."
part_de_fortune,mc,conjonction,"a part de fortune conjointe au milieu du ciel peut amener une réussite professionnelle, des profits, des promotions et augmentations au travail au cours de la carrière. On a plus de chance de trouver sa vocation, de trouver de l'épanouissement dans son métier avec ce placement."
part_de_fortune,fc,conjonction,"la part de fortune conjointe au fond du ciel amène un bien être profond au foyer, une possibilité d’acheter un bien immobilier, le fait de travailler chez soi, des biens hérités de la famille, une transmission immobilière, financière, intellectuelle, spirituelle de la famille. Vécu positif au foyer, et dans la famille que l'on construira en tant qu'adulte."
