BLOC,POLARITÉ,PLANÈTE,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,CE_QUE_TU_RECHERCHES,COMMENT_TU_VIS_L_AMOUR,DIFFICULTÉS,MOTS_CLÉS
Style,"Femme, Homme",Vénus,État,Rétrograde,L’amour est un miroir karmique : le cœur apprend à s’ouvrir sans peur du rejet. Relations qui rejouent d’anciens schémas pour les transformer. Difficulté à exprimer ou recevoir l’amour sans réserve.,Quelqu’un de sincère et empathique.,"Aime en profondeur, parfois en silence. Attire les amours de guérison.",Difficulté à exprimer ou recevoir l’amour sans réserve.,introspection; karma; guérison; profondeur
Style,Femme,Vénus,État,Chute,"Difficulté à incarner une féminité spontanée et réceptive. Tu peux te sentir ""pas assez douce"", trop dans le contrôle ou la critique. Tu montres ton amour par le service et l'amélioration plutôt que par la tendresse directe. Tu doutes de ta valeur affective et analyses tes sentiments au lieu de les vivre.",,,,
Style,Femme,Vénus,État,Exil,"Difficulté à incarner sa féminité, Mal à l'aise avec sa douceur, sa réceptivité, Sentiment de ne pas être ""assez féminine"", Difficulté à recevoir l'amour, à se laisser aimer, Peut rejeter ou critiquer sa propre sensibilité",,,,
Style,"Femme, Homme",Vénus,État,Intercepté,"L'amour est enfoui, difficile à exprimer consciemment. Tu ressens profondément mais tu ne sais pas comment montrer ou demander l'affection. Tes besoins amoureux sont cachés, même à toi-même. Il faut un travail intérieur pour débloquer cette énergie et te permettre d'aimer librement.",,,,
Style ,Homme ,Mars ,État,Chute,"Difficulté à incarner une masculinité affirmée. Tu peux te sentir ""pas assez viril"", mal à l'aise avec l'idée de conquérir ou de t'imposer. Ton désir passe par l'émotion et la protection, ce qui peut créer une tension avec les attentes sociales. Tu agis quand tu te sens en sécurité affective, jamais dans la force brute. Honte de la vulnérabilité, passivité, peur de ne pas être ""un vrai homme""",,,,masculinité blessée; sensibilité; honte; passivité
Style ,Homme ,Mars ,État,Exil,"Difficulté à incarner une masculinité affirmée. Tu peux te sentir ""pas assez viril"", mal à l'aise avec l'idée de conquérir ou de t'imposer. Ton désir passe par l'émotion et la protection, ce qui peut créer une tension avec les attentes sociales. Tu agis quand tu te sens en sécurité affective, jamais dans la force brute. Honte de la vulnérabilité, passivité, peur de ne pas être ""un vrai homme""",,,,
Style,"Femme, Homme",Mars,État,Intercepté,"Le feu est bloqué, enfermé dans une zone inconsciente. Tu sens l’intensité sans réussir à la canaliser.",Quelqu’un qui éveille ton courage et ton mouvement.,"Vit l’amour par à-coups, entre explosion et retrait.","Blocage d’action, sentiment d’impuissance.",blocage; refoulement; intensité; libération
Sexualité,"Femme, Homme",Mars,État,Rétrograde,"Le désir sexuel est intériorisé, parfois refoulé. Tu peux douter de ta puissance, de ton impact. Il te faut du temps pour te sentir à l'aise sexuellement, pour oser exprimer ce que tu veux. La sexualité peut être vécue avec pudeur, honte ou autocensure. Tu as besoin d'être rassuré(e) avant de te lâcher.","Quelqu’un qui t’aide à exprimer sans peur, sans jugement.","Vit l’amour avec pudeur, besoin d’être rassuré(e) avant d’agir.","Colère intériorisée, frustration, auto-censure.",introspection; retenue; vulnérabilité; lenteur
Sexualité,"Femme, Homme",Mars,État,Intercepté,"L'énergie sexuelle est bloquée, difficile d'accès. Tu sens une pulsion intense mais tu ne sais pas comment la canaliser ou l'exprimer. Il peut y avoir des blocages inconscients, des inhibitions profondes. La sexualité demande un travail de libération, de reconnexion avec ton corps et tes désirs bruts.",Quelqu’un qui éveille ton courage et ton mouvement.,"Vit l’amour par à-coups, entre explosion et retrait.","Blocage d’action, sentiment d’impuissance.",blocage; refoulement; intensité; libération
Sexualité,"Femme, Homme",Mars,État,Chute,"La sexualité est vécue avec sensibilité, vulnérabilité émotionnelle. Tu as besoin de sécurité affective pour te lâcher physiquement. Ton désir dépend de l'ambiance, de l'intimité émotionnelle. Tu peux avoir du mal à séparer sexe et sentiment. Pour les hommes : possible difficulté de performance liée au stress ou à l'émotion.","Quelqu’un qui t’aide à exprimer sans peur, sans jugement.","Vit l’amour avec pudeur, besoin d’être rassuré(e) avant d’agir.","Colère intériorisée, frustration, auto-censure.",introspection; retenue; vulnérabilité; lenteur
Sexualité,"Femme, Homme",Mars,État,Exil,"La sexualité est vécue lentement, avec hésitation ou en recherche d'harmonie. Tu as besoin de douceur, de sensualité, de temps. Ton désir sexuel peut être freiné par le besoin de confort, d'esthétique ou d'équilibre. Tu peux préférer la qualité à la quantité, ou éviter la sexualité brute et animale. Pour les hommes : possible passivité ou attente que l'autre prenne l'initiative.",Quelqu’un qui éveille ton courage et ton mouvement.,"Vit l’amour par à-coups, entre explosion et retrait.","Blocage d’action, sentiment d’impuissance.",blocage; refoulement; intensité; libération
