PLANÈTE,TYPE_DONNÉE,VALEUR,VIE ACTUELLE,VIE ANTERIEURE
MERCURE,signification,,"Mercure rétrograde signe un karma lié à la communication, au mental et au vécu d'enfance. Tu portes une mémoire de séparation, d'isolement ou d'incompréhension qui influence encore aujourd'hui ta façon de penser et de t'exprimer. Cette vie t'invite à reconnaître ton intelligence authentique et à te donner le droit d'exister pleinement dans ta parole, au-delà des peurs et des croyances héritées du passé.",
Mercure,Maison,1,"On s'identifie à un comportement de dispersion.
On affirme des idées puis on en change aussi vite. On s'identifie
à l'enfant blessé en soi.","Karma de mensonges, de calomnies, on
fortement utilisé le langage pour se sortir de situations
compliquées. On a pu manipuler par les mots."
Mercure,Maison,2,"On craint de ne pas gagner assez bien sa vie. Les
finances fluctuent et on se sent comme un enfant en insécurité
devant les finances.","Karma de vol. On a pu être un commerçant peu
honnête dans la vie passée, utiliser le langage pour flouer,
arnaquer."
Mercure,Maison,3,"Il a été difficile de réussir à s'exprimer dans la fratrie.
On a été peu entendu ou vu, ou les apprentissages scolaires ont été
difficiles. Maltraitance/harcèlement scolaire.","Karma de méchanceté envers les enfants, on a pu
être instituteur et maltraiter les enfants, ou être en ir"
Mercure,Maison,4,"On n'a pas été écouté enfant. Notre parole était niée, rejetée. À la maison, on n'avait pas le droit de parler. Nos émotions prennent le pas sur notre communication.","Karma familial. On a pu être abandonné, ou abandonner soi-même ses enfants et son foyer. On ne s'est pas occupé de siens, on n'a pas écouté, pas accueilli la parole de l'autre."
Mercure,Maison,5,"On n'a pas eu le droit de parler de soi enfant.
Déception vis-à-vis du père, on l'a recherché. On a peur de ne rien
valoir. Peur d'avoir des enfants.","Karma égotique. On a abusé de son égo, vis-à-vis des autres. On s'est mal occupé de ses enfants, on a pris leur place, on recherchait beaucoup de reconnaissance."
Mercure,Maison,6,"On somatise très facilement puisqu'on a du mal à exprimer par des mots. Troubles nerveux, troubles de la communication, on peut travailler avec des enfants en difficulté.","Si relation avec la 12, on a pu abuser de la confiance d'autrui et faire de la prison. On refusait de faire des choix et de s'engager."
Mercure,Maison,7,"On a des difficultés au niveau du couple, on attire des partenaires immatures, volages, avec lesquels on communique difficilement, on se sent bloqué sentimentalement.","C'est dans son couple qu'on a crée du karma, en mentant, manquant d'honnêteté avec l'autre, ne s'engageant pas, ne faisant pas attention à l'autre."
Mercure,Maison,8,"On a une peur terrible du langage, de donner son avis. Enfance mal vécue où parler pouvait nous retomber dessus, violence psychologique. Manque de prise en charge parentale.","Nous n'avons pas été en capacité de prendre en charge ses enfants dans une vie passée. On a fait le vide autour de soi, rompant avec les gens et situations."
Mercure,Maison,9,"On a souvent la tentation d'imposer ses idées et croyances aux autres, pour se revaloriser, car on doute de ses capacités. Dans l'enfance, sentiment de ne pas avoir de place.","Nous avons usé du langage pour s'imposer, être autoritaire, affirmer une supériorité. On en a trop fait pour être le meilleur, mais on a pu tout perdre..."
Mercure,Maison,10,"On rejette le modèle familial/paternel, communication difficile dans l'enfance. Foyer rigide, rempli de règles. On aura du mal à maintenir cette organisation et tout cadre sera contrainte. On va de travail en travail, en ayant du mal à trouver sa voie.","Nous avons imposé à nos enfants un modèle qui était le nôtre, dans une totale tradition patriarcale. Abus au travail."
Mercure,Maison,11,"On peine à se sentir à l'aise dans un groupe, sentiment de vulnérabilité intense dans un collectif, dévalorisation intellectuelle, retrait. Peu d'affectif dans l'enfance.","Karma de l'esprit. On a imposé des dogmes et des idéologies aux groupes et à la société dans une pleine puissance, on a abusé du langage pour servir son égo."
Mercure,Maison,12,"On a vécu une enfance assez triste, solitaire, on s'est senti isolé, abandonné, sa parole est devenue silence, mutisme, grande difficulté à parler une fois adulte. Culpabilité parentale.","Karma de silence. Voeu de silence dans la vie passée, oubli de soi dans la religion, abandon de sa famille et de enfants, ou vie d'orphelin."
Mercure,Signe,bélier,"On peine à s'affirmer, dominer, on a un langage
parfois agressif, parfois complètement en retrait. On parle par
la colère. On vit la communication comme une agression.","Karma de mots violents, on a pu avoir une façon
de parler autoritaire, agressive, dominatrice. On a pu blesser
l'autre par les mots."
Mercure,Signe,taureau,"On a pu souffrir d'un étouffement parental, être
trop couvé, et ne pas avoir le droit de l'exprimer, ou au contraire
un manque total de sécurité.","On a cherché à amasser de l'argent, à se
sécuriser à outrance dans la vie passée, en possédant, gardant
pour soi, possédant les autres."
Mercure,Signe,gémeaux,"On communique d'une manière dispersée, frivole,
superficielle, parce-qu'on a trop peur de parler de sujets de
fond. Problématique avec la fratrie. Peu de confiance en son
intelligence.","Karma avec les frères et soeurs. On ne s'est pas
occupé d'eux, on les a volés, ils nous ont volé..."
Mercure,Signe,cancer,"Communiquer est difficile, on a tout le temps peur et on se laisse vite déborder par nos émotions. A la maison, on nous a demandé d'incarner le petit enfant sage qui ne fait pas de vagues.","Karma familial. On a pu être une mère difficile avec
ses enfants, ne pas les écouter, les délaisser, abandonner, ou être
abandonné. On a abusé de la parole pour du chantage affectif."
