BLOC,POLARITÉ,MAISON,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,CE_QUE_TU_RECHERCHES,TYPE_EXPERIENCE,DIFFICULTÉS,MOTS_CLÉS
Style,"Femme, Homme",Maison 5,Signe,Bélier,"Vibre fort au début d’une histoire. Besoin d’excitation, de jeu et d’élan. Tombe vite amoureux(se), agit spontanément.",Quelqu’un qui réveille sa flamme et ose vivre à fond.,Vit l’amour comme une aventure.,Difficulté à durer ou à canaliser le feu intérieur.,passion; feu; élan; audace
Style,"Femme, Homme",Maison 5,Signe,Taureau,"Aime dans la constance, la sensualité et la sécurité. A besoin de stabilité pour s’ouvrir.","Quelqu’un de fiable, doux, loyal.",Vit l’amour dans la tendresse et la lenteur.,Peut s’enfermer dans la routine ou la peur de perdre.,sensualité; loyauté; stabilité; douceur
Style,"Femme, Homme",Maison 5,Signe,Gémeaux,"Aime par la parole, le rire et la légèreté. Curieux(se), charme par l’esprit.","Un partenaire communicatif, drôle, complice.",Vit l’amour comme un jeu intellectuel.,"Peur de l’ennui, besoin constant de nouveauté.",communication; humour; légèreté; curiosité
Style,"Femme, Homme",Maison 5,Signe,Cancer,"Aime avec tendresse et besoin de se sentir en sécurité. Très sentimental(e), cherche la douceur.",Quelqu’un de protecteur et sincère.,Vit l’amour comme un cocon.,Peut se replier ou être dépendant affectivement.,tendresse; protection; fidélité; émotion
Style,"Femme, Homme",Maison 5,Signe,Lion,"Aime fort, avec fierté et générosité. Besoin de reconnaissance et de passion.",Quelqu’un qui le/la fait briller.,"Vit l’amour dans la théâtralité, la joie, la chaleur.",Peut se blesser si non reconnu(e) ou ignoré(e).,fierté; passion; rayonnement; amour-propre
Style,"Femme, Homme",Maison 5,Signe,Vierge,"Aime dans la discrétion, le respect et la sincérité.","Un partenaire stable, réfléchi, prévenant.",Vit l’amour dans les attentions concrètes.,"Peut se brider, peur de ne pas être à la hauteur.",modestie; respect; constance; loyauté
Style,"Femme, Homme",Maison 5,Signe,Balance,"Aime avec élégance, charme et sens de l’harmonie.","Un partenaire raffiné, juste, équilibré.","Vit l’amour dans la beauté du lien, la complicité douce.",Peut fuir le conflit ou trop vouloir plaire.,charme; beauté; harmonie; diplomatie
Style,"Femme, Homme",Maison 5,Signe,Scorpion,"Aime avec intensité, passion et vérité. Attire les liens forts et transformateurs.","Quelqu’un de loyal, profond, vrai.",Vit l’amour comme une expérience totale.,Peut être jaloux(se) ou obsessionnel(le).,intensité; transformation; loyauté; vérité
Style,"Femme, Homme",Maison 5,Signe,Sagittaire,"Aime dans la liberté, la joie et la découverte. Besoin de partager des idéaux communs.","Un partenaire ouvert, optimiste, curieux.",Vit l’amour comme une aventure de vie.,Peut fuir les contraintes.,liberté; enthousiasme; voyage; exploration
Style,"Femme, Homme",Maison 5,Signe,Capricorne,"Aime avec sérieux, profondeur et réserve. L’amour doit avoir du sens et du cadre.","Quelqu’un de fiable, responsable, fidèle.",Vit l’amour comme un engagement réfléchi.,Peut craindre la vulnérabilité.,responsabilité; fidélité; constance; maturité
Style,"Femme, Homme",Maison 5,Signe,Verseau,"Aime différemment, de manière libre, intellectuelle et atypique.","Un partenaire unique, stimulant, respectueux de sa liberté.",Vit l’amour comme un lien égalitaire et inspirant.,Peut être détaché ou imprévisible.,liberté; différence; amitié; originalité
Style,"Femme, Homme",Maison 5,Signe,Poissons,"Aime dans la fusion, l’imaginaire et la compassion.","Quelqu’un de doux, sensible, inspiré.",Vit l’amour comme un rêve ou un idéal.,Peut s’égarer dans l’illusion ou la dépendance.,fusion; rêve; douceur; spiritualité
Style,"Femme, Homme",Maison 5,Planète,Soleil,"L’amour est vital. Besoin de briller dans le lien, de se sentir vu(e) et admiré(e).",Un partenaire qui reconnaît ton rayonnement.,Vit l’amour avec intensité et fierté.,Peut chercher la validation ou le contrôle.,rayonnement; ego; passion; admiration
