BLOC ,POLARITÉ,MAITRE_MAISON,TYPE_DONNEE,VALEUR,INTERPRETATION,,,,
Style,"Femme, Homme",maitre_maison_5,Maison,1,"L’amour devient un acte d’affirmation. Tu séduis par ta présence, ton charisme et ton énergie.","Une relation vivante, directe, basée sur la spontanéité.",Vit l’amour comme un prolongement de soi.,Peut tout ramener à soi ou manquer d’écoute.,affirmation; rayonnement; passion; charisme
Style,"Femme, Homme",maitre_maison_5,Maison,2,L’amour passe par la stabilité et les sens. Tu as besoin d’un lien qui te rassure et te nourrit matériellement ou émotionnellement.,"Quelqu’un de constant, fiable, loyal.","Vit l’amour dans la durée, avec besoin de sécurité.",Peut craindre le changement ou s’enfermer dans la routine.,stabilité; loyauté; sensualité; confort
Style,"Femme, Homme",maitre_maison_5,Maison,3,"L’amour est communication, jeu et curiosité. Tu séduis par les mots, le rire, la complicité mentale.","Une relation vivante, stimulante, pleine d’échanges.",Vit l’amour dans la légèreté et le dialogue.,Peut se disperser ou manquer de profondeur.,curiosité; communication; légèreté; échange
Style,"Femme, Homme",maitre_maison_5,Maison,4,"L’amour se vit dans la tendresse, le cocon et la loyauté. Tu as besoin de te sentir en sécurité pour t’ouvrir.","Quelqu’un de sincère, stable, protecteur.","Vit l’amour comme un foyer, un refuge.",Peut s’attacher trop vite ou se refermer sur le passé.,tendresse; foyer; loyauté; sécurité
Style,"Femme, Homme",maitre_maison_5,Maison,5,"L’amour est ta scène naturelle. Tu rayonnes dans le lien, avec passion et joie de vivre.","Une relation expressive, généreuse, vibrante.",Vit l’amour comme un art d’aimer.,Peut rechercher trop d’admiration ou de contrôle.,passion; rayonnement; joie; reconnaissance
Style,"Femme, Homme",maitre_maison_5,Maison,6,"L’amour devient service, constance, attention aux détails. Tu prouves ton amour en étant présent(e) au quotidien.","Une relation fiable, stable, sincère.","Vit l’amour dans le soin, la fidélité, la régularité.",Peut s’épuiser à trop vouloir faire plaisir.,loyauté; service; régularité; modestie
Style,"Femme, Homme",maitre_maison_5,Maison,7,L’amour passe par le miroir du couple. Tu apprends à aimer à travers la relation consciente à l’autre.,"Quelqu’un d’attentif, doux, équilibré.","Vit l’amour comme une alliance, un partenariat.",Peut dépendre du regard de l’autre pour se sentir aimé(e).,équilibre; union; partage; miroir
Style,"Femme, Homme",maitre_maison_5,Maison,8,"L’amour est intense, transformateur, parfois dérangeant. Tu cherches des liens profonds, exclusifs, qui te transforment.","Une relation fusionnelle, vraie, sans faux-semblant.",Vit l’amour comme une renaissance.,Peut attirer la jalousie ou le contrôle.,intensité; transformation; loyauté; passion
Style,"Femme, Homme",maitre_maison_5,Maison,9,"L’amour te fait grandir, t’élève. Tu cherches un lien inspirant, spirituel, ou nourri par des valeurs communes.","Quelqu’un de libre, curieux, positif.",Vit l’amour comme une aventure intérieure et extérieure.,Peut fuir la routine ou les limites.,liberté; expansion; foi; découverte
Style,"Femme, Homme",maitre_maison_5,Maison,10,"L’amour s’exprime dans la construction, la loyauté et la maturité. Tu veux que ton lien ait du sens et de la durée.","Quelqu’un de solide, stable, digne de respect.",Vit l’amour dans l’engagement et la responsabilité.,Peut trop rationaliser ou contrôler les émotions.,engagement; stabilité; responsabilité; loyauté
Style,"Femme, Homme",maitre_maison_5,Maison,11,"L’amour devient amitié, idéal, liberté partagée. Tu cherches un lien stimulant, moderne, complice.","Quelqu’un de différent, original, libre.",Vit l’amour dans la complicité intellectuelle et l’égalité.,Peut manquer d’ancrage ou craindre la fusion.,liberté; amitié; égalité; originalité
Style,"Femme, Homme",maitre_maison_5,Maison,12,"L’amour est mystère, compassion, fusion. Tu vibres dans des liens d’âme, subtils, sensibles.","Quelqu’un de doux, spirituel, inspirant.",Vit l’amour dans l’intuition et la foi.,Peut se perdre ou idéaliser le lien.,compassion; rêve; mystère; foi
Couple,"Femme, Homme",maitre_maison_7,Maison,1,Attirance pour les personnalités fortes et affirmées. Tu cherches un partenaire qui agit et qui t’aide à te révéler.,"Quelqu’un de direct, entier, sincère.",Vit la relation comme un miroir de soi : l’autre reflète sa propre énergie.,Risque de rapports de force ou de compétition.,affirmation; miroir; passion; courage
Couple,"Femme, Homme",maitre_maison_7,Maison,2,"Besoin d’un partenaire stable, ancré, rassurant. L’amour se vit dans la sécurité et la loyauté.","Une personne fiable, concrète, solide.","Vit la relation dans la durée, à travers la construction matérielle.",Peur de la perte ou du manque de sécurité.,stabilité; loyauté; matérialité; confiance
Couple,"Femme, Homme",maitre_maison_7,Maison,3,"Attirance pour la communication, les échanges, l’intellect.","Quelqu’un de curieux, intelligent, mobile.",Vit la relation comme une complicité mentale.,"Instabilité, dispersion, besoin de renouvellement.",communication; légèreté; curiosité; échange
Couple,"Femme, Homme",maitre_maison_7,Maison,4,"Attirance pour les liens profonds, familiaux, protecteurs.","Quelqu’un de doux, tendre, fidèle.","Vit l’amour comme un refuge, un foyer émotionnel.",Risque de dépendance ou de nostalgie.,tendresse; sécurité; loyauté; famille
Couple,"Femme, Homme",maitre_maison_7,Maison,5,"Attirance pour des partenaires expressifs, solaires, créatifs.","Quelqu’un de passionné, rayonnant.","Vit l’amour dans le plaisir, la passion et la joie.",Peut trop attendre d’admiration ou de reconnaissance.,passion; création; rayonnement; fierté
Couple,"Femme, Homme",maitre_maison_7,Maison,6,"Attirance pour des partenaires fiables, concrets, loyaux. L’amour se vit dans le quotidien et le soutien mutuel.","Quelqu’un de stable, patient, attentionné.",Vit l’amour à travers le service et la régularité.,Peut s’enfermer dans des schémas d’habitude ou de sacrifice.,loyauté; constance; service; patience
Couple,"Femme, Homme",maitre_maison_7,Maison,7,"Attirance pour les relations miroir. Cherche un lien d’égal à égal, basé sur le respect mutuel.","Quelqu’un de juste, équilibré, diplomate.",Vit l’amour dans la réciprocité et la conscience de soi.,Peut dépendre du regard de l’autre pour exister.,équilibre; harmonie; partenariat; miroir
Couple,"Femme, Homme",maitre_maison_7,Maison,8,"Attirance pour les liens intenses, transformateurs.","Quelqu’un de loyal, passionné, entier.",Vit l’amour dans la fusion et la régénération.,Peut attirer des crises ou des relations de pouvoir.,intensité; transformation; loyauté; passion
Couple,"Femme, Homme",maitre_maison_7,Maison,9,"Attirance pour des partenaires inspirants, ouverts, curieux.","Quelqu’un d’aventureux, libre, positif.",Vit l’amour comme une exploration commune.,Peut fuir la routine ou les contraintes.,liberté; expansion; découverte; optimisme
Couple,"Femme, Homme",maitre_maison_7,Maison,10,"Attirance pour les partenaires responsables, ambitieux, structurés.","Quelqu’un de fort, fiable, stable.",Vit l’amour comme un projet ou une mission commune.,Peut sacrifier l’intimité au profit du devoir.,stabilité; respect; réussite; loyauté
Couple,"Femme, Homme",maitre_maison_7,Maison,11,"Attirance pour les liens d’amitié, de complicité, d’égalité.","Quelqu’un de libre, ouvert, différent.",Vit l’amour comme une alliance d’âmes indépendantes.,Peut éviter l’engagement concret ou fuir la fusion.,liberté; amitié; égalité; originalité
Couple,"Femme, Homme",maitre_maison_7,Maison,12,"Attirance pour les âmes sensibles, spirituelles, ou blessées.","Quelqu’un d’intuitif, empathique, discret.",Vit l’amour dans la compassion et le rêve.,Peut s’oublier ou se perdre dans l’autre.,compassion; mystère; fusion; rêve
Style,"Femme, Homme",maitre_maison_7,Signe,Bélier,"Tu abordes les relations avec impulsivité et passion. Tu fonces dans l'engagement, parfois trop vite, porté(e) par l'enthousiasme du début. Tu as besoin d'un partenaire qui te stimule, te challenge, qui a du répondant. L'union doit rester vivante, jamais ennuyeuse. Tu peux te lasser si ça devient trop calme ou routinier. Attention à ne pas brûler les étapes ou à fuir dès que le feu initial retombe.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Taureau,"Tu abordes les relations avec un besoin profond de stabilité et de sécurité. Tu prends ton temps pour t'engager, mais une fois dedans, tu es loyal(e) et constant(e). Tu as besoin d'un partenaire qui te rassure matériellement et affectivement. La sensualité et le confort partagé sont essentiels. Tu peux être possessif(ve) ou résister au changement quand la relation évolue.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Gémeaux,"Tu abordes les relations avec curiosité et légèreté. Tu as besoin d'un partenaire avec qui parler, échanger, réfléchir — la complicité intellectuelle est non négociable. Tu veux de la stimulation mentale, de l'humour, de la variété. L'union doit rester vivante et amicale. Tu peux avoir du mal avec la routine ou papillonner si tu t'ennuies.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Cancer,"Tu abordes les relations avec un grand besoin d'affection et de sécurité émotionnelle. Tu cherches un partenaire qui prend soin de toi, qui te couve, qui crée un cocon. Tu donnes beaucoup mais tu attends beaucoup en retour. L'union est vécue comme une famille. Tu peux devenir dépendant(e) ou infantiliser/te faire infantiliser dans la relation.",,,,
