PLANETE;PLANETE;ORBE_MAX;SCORE;TYPE;COMMENTAIRE;
Soleil;ASC;8;5.0;force;Rayonnement naturel, présence solaire évidente, leadership magnétique, vitalité visible;
Lune;ASC;8;5.0;mixte;Sensibilité à fleur de peau, émotions visibles, empathie magnétique (force) / Vulnérabilité apparente, absorption des autres (défi);
Mercure;ASC;8;4.5;force;Vivacité d'esprit visible, communication spontanée, curiosité dans le regard, jeunesse perpétuelle;
Venus;ASC;8;5.0;force;Beauté naturelle, charme immédiat, grâce dans les gestes, magnétisme doux, esthétique raffinée;
Mars;ASC;8;5.0;mixte;Énergie explosive, courage visible, affirmation directe (force) / Agressivité apparente, impulsivité, conflits immédiats (défi);
Jupiter;ASC;8;4.5;force;Optimisme rayonnant, générosité visible, présence expansive, chance apparente, confiance naturelle;
Saturne;ASC;8;5.0;defis;Sérieux précoce, timidité apparente, difficulté à être spontané, armure protectrice, maturité forcée;
Uranus;ASC;8;5.0;force;Originalité frappante, électricité personnelle, look atypique, présence magnétique unique, génie visible;
Neptune;ASC;8;5.0;mixte;Charme mystérieux envoûtant, sensibilité artistique visible (force) / Flou identitaire, confusion sur soi, limites poreuses (défi);
Pluton;ASC;8;5.0;mixte;Magnétisme intense, regard pénétrant, pouvoir personnel évident (force) / Aura intimidante, contrôle de l'image, masque impénétrable (défi);
Soleil;MC;8;5.0;force;Destinée solaire évidente, vocation claire, leadership professionnel, reconnaissance naturelle;
Lune;MC;8;5.0;mixte;Visibilité émotionnelle publique, empathie professionnelle (force) / Vie privée exposée, vulnérabilité publique (défi);
Mercure;MC;8;4.5;force;Communication professionnelle, carrière intellectuelle, transmission publique, polyvalence reconnue;
Venus;MC;8;4.5;force;Carrière artistique/diplomatique, charme professionnel, métiers de beauté/harmonie, popularité;
Mars;MC;8;5.0;force;Ambition guerrière, action professionnelle décisive, leadership combatif, carrière sportive/militaire;
Jupiter;MC;8;5.0;force;Réussite sociale majeure, expansion professionnelle, reconnaissance publique, carrière internationale;
Saturne;MC;8;5.0;mixte;Ambition contrôlée, responsabilités professionnelles lourdes, ascension lente mais solide (force) / Blocages de carrière, père absent/exigeant (défi);
Uranus;MC;8;5.0;force;Carrière innovante, révolution professionnelle, visibilité par l'originalité, génie reconnu publiquement;
Neptune;MC;8;5.0;mixte;Carrière artistique/spirituelle/humanitaire, inspiration professionnelle (force) / Confusion sur la direction, idéalisation du succès (défi);
