PLANETE;SIGNE;ETAT;TYPE;SCORE;COMMENTAIRE;
Soleil;Bélier;exaltation;force;4.5;Volonté pionnière et affirmée. Courage, instinct d’action et besoin de se démarquer. Donne un rayonnement naturel et une présence dynamique.;
Soleil;Taureau;neutre;force;2;Stabilité, persévérance et sensualité. Recherche de sécurité intérieure et extérieure, parfois au détriment du changement.;
Soleil;Gémeaux;neutre;mixte;2;Esprit curieux, adaptable et expressif. Capacité à apprendre et à relier les idées, mais parfois dispersion de l’énergie et de l’identité.;
Soleil;Cancer;neutre;defis;2;Forte sensibilité et besoin de protection. Identité liée à la sphère intime, parfois repliée ou nostalgique.;
Soleil;Lion;domicile;force;5;Rayonnement naturel, confiance et leadership. Identité claire, besoin d’être reconnu et de laisser une trace visible.;
Soleil;Vierge;neutre;defis;2;Besoin de perfection et d’utilité. Identité tournée vers le service ou la performance, tendance à l’autocritique.;
Soleil;Balance;chute;defis;4.5;Recherche d’approbation et besoin d’harmonie. Difficulté à affirmer son individualité sans dépendre du regard d’autrui.;
Soleil;Scorpion;neutre;mixte;2;Volonté intense et passionnée. Besoin de transformation et de contrôle, tendance à vivre en profondeur chaque expérience.;
Soleil;Sagittaire;neutre;force;2;Foi, enthousiasme et vision. Identité expansive et aventurière, besoin d’un but supérieur pour guider la vie.;
Soleil;Capricorne;exaltation;force;4.8;Ambition, endurance et maîtrise. Identité construite sur la rigueur et la fiabilité. Risque de se définir uniquement par la réussite.;
Soleil;Verseau;exil;defis;4;Individualisme fort, originalité et détachement émotionnel. Peut se sentir différent ou marginal, cherche sa propre voie.;
Soleil;Poissons;neutre;mixte;2;Empathie, imagination et foi intérieure. Identité perméable, parfois floue ou indécise. Besoin d’un ancrage spirituel.;
Soleil;Tous;retrograde;defis;4.5;Remise en question de l’identité. Introspection sur la place dans le monde, expression plus intériorisée du rayonnement personnel.;
Lune;Bélier;neutre;defis;3.5;Réactivité émotionnelle, franchise des sentiments. Besoin d’agir selon ses envies immédiates. Peut manquer de recul émotionnel.;
Lune;Taureau;exaltation;force;5;Grande stabilité émotionnelle, besoin de confort et de sécurité. Affectivité concrète, apaisante, tournée vers la douceur et les plaisirs simples.;
Lune;Gémeaux;neutre;mixte;2.5;Émotions changeantes, curiosité et besoin de communication. Affectivité cérébrale, détachée mais vive. Peut fuir la profondeur émotionnelle.;
Lune;Cancer;domicile;force;5;Sensibilité et intuition profondes. Besoin de protection et de lien familial. Capacité à nourrir et à réconforter les autres.;
Lune;Lion;neutre;mixte;3.5;Besoin de reconnaissance et d’expression affective. Générosité du cœur, mais tendance à dramatiser ou à rechercher l’attention.;
Lune;Vierge;neutre;defis;3;Émotions retenues, besoin de contrôle et de compréhension rationnelle. Peut analyser au lieu de ressentir. Apprentissage du lâcher-prise affectif.;
Lune;Balance;neutre;mixte;3;Besoin d’harmonie et d’échanges. Recherche de sécurité à travers la relation. Risque de dépendance ou de peur du conflit.;
Lune;Scorpion;chute;defis;5;Émotions intenses, profondes, souvent secrètes. Passion et transformation, mais risque de crises intérieures et de jalousie.;
Lune;Sagittaire;neutre;mixte;3;Optimisme émotionnel, besoin de liberté et de sens. Recherche de vérité dans l’expérience. Peut fuir l’engagement affectif.;
Lune;Capricorne;exil;defis;4.5;Maîtrise émotionnelle et réserve affective. Besoin de contrôle pour se protéger. Apprentissage de la vulnérabilité.;
Lune;Verseau;neutre;mixte;3;Détachement émotionnel, besoin de liberté intérieure. Émotions filtrées par la raison. Indépendance affective parfois froide.;
Lune;Poissons;neutre;Mixte;4.5;Sensibilité extrême, compassion et imagination. Empathie naturelle mais tendance à l’absorption émotionnelle des autres.;
Lune;Tous;retrograde;defis;4.3;Émotions intériorisées. Difficulté à exprimer ou comprendre ses besoins profonds, hypersensibilité intérieure.;
Mercure;Bélier;neutre;force;2;Esprit rapide, franc et direct. Communication spontanée, parfois impulsive. Tendance à parler avant de réfléchir.;
Mercure;Taureau;neutre;mixte;2;Pensée concrète et stable. Esprit méthodique, parfois rigide ou lent à changer d’avis.;
Mercure;Gémeaux;domicile;force;4.5;Esprit vif, curieux, adaptable. Communication fluide et besoin d’apprendre constamment.;
Mercure;Cancer;neutre;mixte;2;Mémoire et sensibilité, pensée intuitive. Communication teintée d’émotion.;
Mercure;Lion;neutre;force;3;Communication confiante et expressive. Tendance à dramatiser ou à chercher l’approbation.;
Mercure;Vierge;domicile;force;4.5;Esprit analytique, précis et rigoureux. Capacité de synthèse et sens du détail.;
Mercure;Balance;neutre;mixte;2;Communication diplomate, besoin d’équilibre dans les échanges. Peut hésiter à trancher.;
Mercure;Scorpion;neutre;mixte;3;Esprit perçant, lucide et stratégique. Tendance à l’obsession mentale, intensité psychique.;
Mercure;Sagittaire;exil;defis;2;Jugements rapides, idéalisme excessif. Difficulté à écouter ou à adapter sa pensée.;
Mercure;Capricorne;exaltation;force;3;Pensée structurée et pragmatique. Capacité à organiser, planifier et concrétiser les idées.;
