ASTRE,DONNEE,VALEUR,INTERPRETATION
lune,Signe,Bélier,"Dans les vies antérieures, comportement souvent emporté et
colérique. Il est difficile de gérer des émotions éruptives et
impulsives, nous avons pu être très nerveux auprès de nos
proches, de notre foyer, intransigeants, voulant que sa famille
soit la meilleure. On se sécurise en passant à l'action, en
s'affirmant, en revendiquant, en réussissant."
lune,Maison,1,"Il existe une vulnérabilité identitaire. Nous avons du mal à
être complètement nous même, à exprimer nos désirs. La mère
nous a fortement influencé au niveau de la personnalité, ne
nous laissant pas toujours être nous-même, surtout si elle est
proche de l'ascendant. Il est difficile de s'affirmer. "
lune,Signe,Taureau,"Dans les vies antérieures, comportement très possessif avec sa
famille, avec les proches. Le rapport au corps peut poser
question, la sensualité et la corporalité ont pu être utilisés à
mauvais escient dans les vies antérieures. Le besoin de manger,
se remplir, posséder, être entouré vient rassurer une difficulté à
se sentir incarné. On se sécurise en amassant des biens."
lune,Maison,2,"Il existe une vulnérabilité financière, charnelle et affective.
Nous ne nous sentons pas en sécurité, nous avons besoin
d'amasser pour se sentir comblés. Le contrôle est là pour se
sentir rassuré, aussi bien sur les affaires qu'avec les proches.
Il y a une peur de manquer, de perdre de l'argent."
lune,Signe,Gémeaux,"Dans les vies antérieures, comportement très dispersé, avec une
difficulté à s'engager dans quelque chose de durable (métier ou
relation). Le rapport à ses enfants s'est fait dans une modalité de
complicité amicale, refusant le rôle de l'adulte. Abordant la vie
avec trop de légèreté, restant en surface de ses émotions, la vie
antérieure n'a pas été source de construction. On se sécurise en
essayant d'apprendre, en transmettant ou avec ses amitiés."
lune,Maison,3,"Il existe une vulnérabilité vis-à-vis de sa fratrie, de l'entourage et
des amis, de la scolarité et de l'enfance. Il y a un sentiment
d'avoir mal vécu son histoire, un sentiment de dispersion, de vide
à combler, entraînant la quête d'un jumeau. Les études et
l'apprentissage peuvent faire peur ou au contraire être source de
réconfort."
lune,Signe,Cancer,"Dans les vies antérieures, comportement très émotif, allant à la
limite d'une dépendance affective, d'une tendance à culpabiliser
les autres. Devenir adulte fait parfois peur, on reste dans des
comportements enfantins. On a eu tendance à s'identifier à sa
famille, à sa mère.
On se sécurise en s'entourant le plus possible de ses proches, de
sa famille, en restant chez soi."
lune,Maison,4,"Il existe une vulnérabilité vis-à-vis de son foyer, de son enfance,
de son cercle familial, de sa mère si il s'agit du thème d'une
femme et de son père si il s'agit d'un homme. On a pu être déjà
en difficulté pour incarner un rôle maternelle dans la vie
précédente, une difficulté à être mère ou se lier à une femme et
créer un foyer."
lune,Signe,Lion,"Dans les vies antérieures, comportement parfois écrasant, voulant
briller et être le centre d'attention pour se sentir exister. Avec les
proches, on a demandé à être reconnu, être mis en avant,
complimenté. On a parfois pris le devant de la scène, et dans les
vies antérieures on a cherché à ce que son cercle proche nous
regarde. On se sécurise en créant, en essayant de réussir de
petites choses."
lune,Maison,5,"Il existe une vulnérabilité vis-à-vis de la façon dont on se fait
plaisir, et dont on arrive à se valoriser, à se sentir reconnu, à
être légitime à briller, se mettre en valeur et en avant. On a
parfois honte de réussir, d'être vu, et en même temps on a
besoin de reconnaissance pour se donner de la valeur."
lune,Signe,Vierge,"Dans les vies antérieures, comportement très sérieux et rigoureux,
mentalisé et intransigeant, jugeant, attaché à des principes. On a
été une mère très centrée sur le quotidien, donnant de l'amour à
nos enfants en les soignant, nourrissant, en faisant toutes les
tâches au foyer.
On se sécurise en s'occupant de sa santé, par la naturopathie, les
En vierge plantes, etc."
lune,Maison,6,"Il existe une vulnérabilité vis-à-vis de notre santé, on peut
avoir tendance à somatiser pour vivre nos émotions, au lieu de
les accepter. On peut changer de travail régulièrement, ayant
du mal à vivre de la même manière un quotidien
professionnel, on a parfois besoin de changement."
lune,Signe,Balance,"Dans les vies antérieures, comportement très indécis, avec une
difficulté à se positionner, s'affirmer contre, et dire non. On a pu
s'identifier au couple, à la relation à l'autre, être influençable et
tourné vers l'autre, pour se sentir aimé. On a élevé ses enfants
dans un besoin d'image sociale, de vernis, donnant de
l'importance à l'image renvoyée aux autres. On se sécurise par la douceur, le beau, l'esthétique."
lune,Maison,7,"Il existe une vulnérabilité vis-à-vis de la question du couple.
On peut se sentir mal à l'aise dans une relation
sentimentale, ne sachant pas comment on doit se comporter.
On peut avoir besoin de changements de partenaires afin
de se sentir sécurisé. La mère a influencé le rapport au
couple."
lune,Signe,Scorpion,"Dans les vies antérieures, comportement très sombre, préférant la
rupture à l'engagement, rompant lorsque les angoisses étaient
trop présentes. On a pu être une mère anxiogène, vivant dans un
foyer toxique et agressif. Cette lune indique un travail important
à faire au niveau émotionnel.
On se sécurise en s'isolant pour réfléchir sur soi-même, prendre du recul pour s'apaiser et gérer son flot émotionnel."
lune,Maison,8,"Il existe une vulnérabilité vis-à-vis de l'anxiété, une tendance à
stresser facilement, avoir peur, imaginer rapidement des
scénarios négatifs. L'intuition est forte et angoissante à la fois.
Il y a un aspect karmique fort à cette lune, avec des vies
difficiles, marquées d'agressivité et de rapport à la mort."
