planete,type,valeur,vie_actuelle,vie_anterieure
Mars,Maison_gouvernee,1,"L’action, la colère et l’affirmation touchent directement l’identité. La personne peut se sentir en retard dans sa capacité à oser, décider ou prendre sa place.","Mémoire d’une incarnation où l’affirmation personnelle, la domination ou l’usage de la force ont laissé une empreinte à réviser."
Mars,Maison_gouvernee,2,"L’énergie martienne agit sur la sécurité, le corps, l’argent et la valeur personnelle. La personne peut alterner entre contrôle, frustration et besoin de reprendre possession de ses ressources.","Mémoire de survie matérielle, de lutte pour posséder ou défendre ce qui était vital."
Mars,Maison_gouvernee,3,"L’affirmation passe par la parole, la pensée et les échanges. La colère peut être retenue, mentalisée ou exprimée trop tard.","Mémoire de conflit par la parole, de rivalité fraternelle ou d’usage agressif de l’intellect."
Mars,Maison_gouvernee,4,"L’action est liée au clan, à la famille, aux racines. La personne peut porter une colère ancienne envers l’histoire familiale ou se sentir responsable de protéger son territoire intime.","Mémoire de conflits familiaux, d’exil, de lutte pour défendre un foyer ou une lignée."
Mars,Maison_gouvernee,5,"Le désir, la créativité et l’expression personnelle demandent une révision. La personne peut retenir son élan vital ou craindre d’assumer son plaisir.","Mémoire d’usage impulsif du désir, de rivalité amoureuse ou de création associée au risque."
Mars,Maison_gouvernee,6,"L’action se rejoue dans le travail, le service, le corps et les routines. Risque de surmenage, irritation rentrée ou difficulté à agir sans se crisper.","Mémoire de servitude, de combat quotidien ou d’épuisement lié au devoir."
Mars,Maison_gouvernee,7,"L’affirmation est entraînée dans les relations. La personne peut rejouer des rapports de force, attirer des partenaires combatifs ou avoir peur du conflit frontal.","Mémoire de conflits conjugaux, d’alliance guerrière ou de domination dans le lien à l’autre."
Mars,Maison_gouvernee,8,"Le désir, la sexualité, la fusion, la perte et le contrôle sont au cœur de la révision. L’action peut être chargée d’intensité, de peur ou de pouvoir latent.","Mémoire de crise, de domination sexuelle, de dette émotionnelle, de survie ou d’usage dangereux du pouvoir."
Mars,Maison_gouvernee,9,"L’affirmation touche les croyances, la vérité, les études ou l’étranger. La personne peut défendre ses idées avec intensité puis douter de sa légitimité.","Mémoire de guerre idéologique, de conquête, d’exil ou de conflit religieux/philosophique."
Mars,Maison_gouvernee,10,"L’action concerne la carrière, l’autorité, la visibilité et la réussite. La personne peut craindre son ambition autant qu’elle la désire.","Mémoire de pouvoir social, de commandement, de chute publique ou d’autorité mal utilisée."
Mars,Maison_gouvernee,11,"L’affirmation se rejoue dans les groupes, les projets et les amitiés. La personne peut hésiter entre se battre pour une cause et se retirer du collectif.","Mémoire de lutte collective, de rivalité dans un groupe ou de trahison au sein d’une alliance."
Mars,Maison_gouvernee,12,"L’action est intériorisée, cachée ou retardée. La colère peut circuler en sous-sol, sous forme de fatigue, fuite ou auto-sabotage.","Mémoire d’enfermement, de combat invisible, de sacrifice forcé ou d’action empêchée."
,,,,
Vénus,Maison_gouvernee,1,"L’amour, le désir d’harmonie et la valeur personnelle touchent directement l’identité. La personne révise sa manière de plaire, d’aimer et d’exister face au regard.","Mémoire d’identité construite autour du charme, de la beauté, de la séduction ou de la validation affective."
Vénus,Maison_gouvernee,2,"La valeur personnelle, l’argent, le corps et l’attachement sont au centre de la révision. La personne peut confondre sécurité affective et sécurité matérielle.","Mémoire de possession, de dépendance affective ou de perte liée aux biens et aux attachements."
Vénus,Maison_gouvernee,3,"L’affect passe par la parole, les échanges et la pensée. La personne peut retenir ses mots doux, intellectualiser ses sentiments ou chercher l’harmonie à tout prix.","Mémoire de liens fraternels, de promesses affectives ou de paroles utilisées pour séduire ou éviter le conflit."
Vénus,Maison_gouvernee,4,"L’amour est lié au foyer, à la famille et aux racines. La personne peut rejouer des attachements anciens ou chercher une paix familiale difficile à obtenir.","Mémoire de loyauté affective au clan, d’amour empêché par la famille ou de dépendance au foyer."
Vénus,Maison_gouvernee,5,"Le plaisir, la créativité, l’amour romantique et les enfants sont en révision. La personne peut craindre d’assumer pleinement son désir ou sa joie.","Mémoire d’amour passionnel, de création sacrifiée, de plaisir interdit ou de blessure liée aux enfants."
Vénus,Maison_gouvernee,6,"L’amour se rejoue dans le service, le quotidien et le soin. La personne peut donner trop, aimer en se rendant utile ou attendre d’être choisie pour ce qu’elle apporte.","Mémoire de dévouement affectif, de servitude relationnelle ou d’amour confondu avec l’obligation."
Vénus,Maison_gouvernee,7,"Les relations, le couple et les alliances sont directement concernés. La personne révise ses schémas d’attachement, de compromis et de dépendance au regard de l’autre.","Mémoire d’union marquante, de mariage karmique, d’alliance déséquilibrée ou de pacte affectif non résolu."
Vénus,Maison_gouvernee,8,"L’amour se mêle à la fusion, à la sexualité, au pouvoir et à la perte. La personne peut vivre l’intimité comme un lieu de transformation profonde.","Mémoire d’amour destructeur, de passion secrète, de dépendance sexuelle ou de lien affectif marqué par la perte."
Vénus,Maison_gouvernee,9,"L’amour touche les croyances, l’ailleurs, les idéaux et la quête de sens. La personne peut idéaliser l’amour ou chercher une relation qui élève.","Mémoire d’amour étranger, interdit religieux, idéalisation spirituelle ou sacrifice affectif au nom d’une croyance."
Vénus,Maison_gouvernee,10,"L’amour, l’image et la reconnaissance sociale sont liés. La personne peut chercher à être validée par sa beauté, son charme, son statut ou sa respectabilité.","Mémoire d’union sociale, de mariage d’intérêt, de réputation affective ou de valeur conditionnée par le regard public."
Vénus,Maison_gouvernee,11,"L’affect se rejoue dans les amitiés, réseaux et projets collectifs. La personne peut confondre amour et appartenance ou chercher l’harmonie dans le groupe.","Mémoire d’amour amical, de rejet collectif, d’idéal partagé ou de blessure dans un cercle social."
Vénus,Maison_gouvernee,12,"L’amour peut être caché, sacrifié, idéalisé ou vécu dans le silence. La personne révise les attachements invisibles et les loyautés affectives inconscientes.","Mémoire d’amour secret, impossible, sacrifié ou vécu dans l’ombre."
,,,,
Mercure,Maison_gouvernee,1,"La pensée, la parole et la compréhension touchent l’identité. La personne peut se définir par son mental tout en doutant de sa voix propre.","Mémoire d’identité liée au savoir, à la parole, au mensonge ou au silence imposé."
Mercure,Maison_gouvernee,2,"Le mental agit sur la sécurité, l’argent et la valeur personnelle. La personne peut ruminer ses choix matériels ou chercher à comprendre sa valeur avant d’agir.","Mémoire de commerce, de parole monnayée, de perte matérielle liée à une décision ou à une information."
Mercure,Maison_gouvernee,3,"La communication, les apprentissages et les liens proches sont au cœur de la révision. La parole peut être rapide intérieurement mais difficile à poser clairement.","Mémoire de transmission, d’étude, de rivalité fraternelle ou de parole empêchée."
Mercure,Maison_gouvernee,4,"La pensée retourne vers les racines, la famille et les mémoires intimes. La personne peut chercher à comprendre son histoire avant de se sentir stable.","Mémoire de secret familial, de non-dit, d’exil ou de parole étouffée dans le clan."
Mercure,Maison_gouvernee,5,"L’expression créative, le jeu, l’amour léger et la spontanéité mentale sont en révision. La personne peut trop analyser son droit à créer ou à séduire.","Mémoire de création intellectuelle, de parole brillante, de jeu amoureux ou de reconnaissance mentale perdue."
Mercure,Maison_gouvernee,6,"Le mental se rejoue dans le travail, le corps et le quotidien. La personne peut suranalyser, optimiser, corriger ou ruminer jusqu’à l’épuisement.","Mémoire de service intellectuel, de tâche répétitive, de critique ou de savoir utilisé sous contrainte."
Mercure,Maison_gouvernee,7,"La communication relationnelle est centrale. La personne révise sa manière de négocier, écouter, répondre ou se taire dans le lien à l’autre.","Mémoire de contrat, de promesse, de médiation, de mensonge ou de parole décisive dans une relation."
