ASTRE,DONNEE,VALEUR,INTERPRETATION
Lune,aspect,conjonction_noeud_nord,"La mémoire émotionnelle colle à la direction de vie : tu ressens “où aller” de façon instinctive, mais ça peut aussi te rendre réactif·ve si tu n’écoutes pas tes besoins."
Lune,aspect,carre_noeud_nord,"Tension entre réflexe émotionnel et direction d’évolution : tu veux avancer, mais un vieux automatisme te ramène au connu. Travail : faire un choix conscient au lieu de “réagir”."
Lune,aspect,opposition_noeud_nord,"Tiraillement émotionnel : ce que tu cherches à devenir semble te demander de lâcher une sécurité intérieure. Évolution : apprendre à te rassurer autrement."
Lune,aspect,trigone_noeud_nord,"Alignement naturel : tes besoins profonds peuvent soutenir ton chemin d’évolution. Quand tu t’écoutes, tu avances plus facilement."
Lune,aspect,sextile_noeud_nord,"Ouverture progressive : ton émotionnel peut t’aider à évoluer, à condition de provoquer le mouvement (petits choix, régularité, pas “un grand soir”)."

Lune,aspect,conjonction_noeud_sud,"Mémoire émotionnelle très ancienne : tu retombes facilement dans des habitudes, des attachements ou des réactions “déjà vécues”. But : ne pas confondre familiarité et justesse."
Lune,aspect,carre_noeud_sud,"Le passé émotionnel résiste : tu sens une lutte intérieure quand il faut lâcher une ancienne façon de te protéger. Clé : ne pas négocier avec tes automatismes."
Lune,aspect,opposition_noeud_sud,"Le confort émotionnel se situe dans des schémas anciens, parfois relationnels. Évolution : arrêter de chercher la sécurité là où ça rejoue la même histoire."
Lune,aspect,trigone_noeud_sud,"Grande facilité à retomber dans le connu : c’est confortable, parfois trop. Travail : utiliser ce talent de “mémoire” sans y rester coincé·e."
Lune,aspect,sextile_noeud_sud,"Le passé te parle, mais tu peux le transformer : bonne capacité à comprendre tes schémas et à faire un pas de côté, si tu le décides consciemment."

Lune,aspect,conjonction_lune_noire,"Émotionnel brut, instinctif, parfois radical : ça touche des zones sensibles, taboues, non digérées. Ça demande de la vérité intérieure, pas du contrôle."
Lune,aspect,carre_lune_noire,"Conflit intérieur : besoin de sécurité vs besoin de liberté émotionnelle. Ça peut créer des réactions fortes si tu te sens piégé·e ou jugé·e."
Lune,aspect,opposition_lune_noire,"Oscillation : un jour ultra fusionnel, un jour “je me coupe”. But : apprivoiser la vulnérabilité sans te punir ni punir l’autre."
Lune,aspect,trigone_lune_noire,"Intuition émotionnelle puissante : capacité à sentir ce qui est vrai et à aller au fond. Gros potentiel de guérison si tu ne te mens pas."
Lune,aspect,sextile_lune_noire,"Ouverture graduelle : tu peux apprivoiser tes zones sensibles avec douceur. Le progrès vient par petites mises en sécurité + vérité."

Lune,aspect,conjonction_saturne,"Émotionnel sous contrôle : besoin de cadre, peur de déborder, maturité précoce. Karma : apprendre à ressentir sans te durcir."
Lune,aspect,carre_saturne,"Tension : émotions vs exigence. Tu peux te juger trop vite ou te sentir “pas assez”. Travail : construire une sécurité interne au lieu de te serrer la gorge."
Lune,aspect,opposition_saturne,"Distance émotionnelle possible : tu peux attirer (ou vivre) des dynamiques de froideur/solitude. But : poser des limites sans fermer le cœur."
Lune,aspect,trigone_saturne,"Solidité intérieure : grande capacité à tenir dans les périodes difficiles. Attention : ne pas confondre force et anesthésie."
Lune,aspect,sextile_saturne,"Stabilisation progressive : tu apprends à te rassurer par des routines, du réel, du concret. Très bon pour guérir l’anxiété émotionnelle."

Lune,aspect,conjonction_pluton,"Émotionnel intense : tout est vécu à fond. Karma : transformation par les liens, les crises, les vérités qu’on ne peut plus éviter."
Lune,aspect,carre_pluton,"Pression interne : peur de perdre, besoin de contrôle, réactions viscérales. Travail : passer du contrôle à la maîtrise (lucide, pas possessive)."
Lune,aspect,opposition_pluton,"Tiraillement relationnel : dynamique de pouvoir/attachement possible. But : apprendre à aimer sans te dissoudre, ni dominer."
Lune,aspect,trigone_pluton,"Grande capacité de régénération : tu sais traverser et renaître. Potentiel de profondeur émotionnelle très “thérapeutique”."
Lune,aspect,sextile_pluton,"Transformation par petites mues : tu avances en conscientisant tes émotions au lieu de les subir. Très bon aspect pour évoluer sans drame."

Lune,aspect,conjonction_neptune,"Hyper-sensibilité : tu captes tout. Karma : apprendre à distinguer intuition, peur, projection. Besoin d’ancrage."
Lune,aspect,carre_neptune,"Brouillard émotionnel : idéalisation, confusion, déception possible. Travail : vérifier les faits et poser des limites énergétiques."
Lune,aspect,opposition_neptune,"Oscillation entre fusion et fuite : tu peux te perdre dans l’autre ou dans l’imaginaire. But : revenir au corps, au concret, aux besoins simples."
Lune,aspect,trigone_neptune,"Intuition fine : imagination, empathie, perception subtile. Attention : garder une hygiène émotionnelle pour ne pas t’épuiser."
Lune,aspect,sextile_neptune,"Sensibilité canalisable : tu peux transformer l’émotion en art, inspiration, spiritualité — à condition de rester ancré·e."

Lune,aspect,conjonction_uranus,"Émotionnel électrique : besoin de liberté, réactions imprévisibles. Karma : apprendre à respirer avant de couper / fuir."
Lune,aspect,carre_uranus,"Instabilité émotionnelle : conflit entre besoin de sécurité et besoin d’air. Travail : créer une sécurité souple, pas une prison."
Lune,aspect,opposition_uranus,"Alternance : proximité puis distance. Tu peux attirer des relations “on/off”. But : clarifier tes besoins et tes limites."
Lune,aspect,trigone_uranus,"Liberté émotionnelle saine : capacité à te renouveler sans te détruire. Tu peux briser des schémas familiaux sans violence."
Lune,aspect,sextile_uranus,"Évolution progressive : tu changes tes réflexes émotionnels par petites ruptures conscientes (nouvelle routine, nouveau cadre)."

Soleil,aspect,conjonction_noeud_nord,"Identité et direction de vie fusionnent : tu es appelé·e à assumer ta place. Karma : arrêter de te cacher, même si ça bouscule."
Soleil,aspect,carre_noeud_nord,"Tension entre ego et chemin : ton “moi” doit se réajuster pour évoluer. Travail : lâcher une posture et grandir."
Soleil,aspect,opposition_noeud_nord,"La direction de vie te met face à l’autre : tu te définis parfois trop par le regard extérieur. But : redevenir ton propre repère."
Soleil,aspect,trigone_noeud_nord,"Alignement : quand tu assumes qui tu es, la vie s’ouvre. Belle cohérence entre volonté et évolution."
Soleil,aspect,sextile_noeud_nord,"Potentiel activable : ton chemin s’ouvre si tu poses des actes simples et réguliers. Ça marche par engagement, pas par idée."

Soleil,aspect,conjonction_noeud_sud,"Identité ancienne : facilité à rejouer un rôle “déjà connu”. Karma : ne pas rester coincé·e dans une version passée de toi."
