ASTRE,DONNEE ,VALEUR,INTERPRETATION
axe_des_portes,maison,1,"La porte invisible en maison 1 indique une problématique au niveau de
la personnalité. On a pu être amené à renoncer, gommer, modifier une
partie de soi. C'est aussi symboliquement le fait de ne pas aller au
dehors de ses repères de fonctionnements habituels. On peut aussi ne
pas savoir, ni connaître ses désirs, ce que l'on veut et souhaite
vraiment dans la vie. On peut ressentir un manque de motivation face
à la vie, manquer d'énergie pour affronter la vie. On préférera vivre
caché, ne pas prendre d'initiatives. On peut cacher ses ressentis,
ressentant de la honte à l'idée de les exprimer, on n'exprime pas le
fond de son désir, on met en place une apparence, un masque. On se
met en retrait de sa propre existence.
La porte visible en maison 7 indique que c'est au travers de la relation
à l'autre que nous allons pouvoir guérir. En créant des liens durables
et profonds avec les autres, en ouvrant notre cœur aux autres."
axe_des_portes,maison,2,"La porte invisible en maison 2 indique la crainte du manque, le fait
d'avoir beaucoup de choses autour de soi, d'accumuler. Mais on sent
qu'on doit renoncer à ces attachements, renoncer à ses possessions,
être dans le renoncement absolu de ses sécurités. On a vécu dans
l'enfance une insécurité particulière, mais on a pu aussi vivre des
pertes dans sa vie, aussi bien matérielles, financières, qu'affectives, ou
perdre des situations. Le besoin est de créer une sécurité intérieure,
qui ne dépend que de soi. On apprend l'impermanence. Stagnation,
immobilisme, par peur.
AAAAAAAAAAAA
La porte visible en maison 8 indique qu'il va falloir mettre de côté ce
qui est rassurant, parce que de toutes façons on reste dans son
insécurité. Tant qu'on cherche à se rassurer, on maintient l'existence
intérieure d'un danger, on entretient sa peur du manque. On cherche
l'être véritable en soi, dans le dépouillement matériel."
axe_des_portes,maison,3,"La porte invisible en maison 3 indique une importance de la
mentalisation dans la vie passée. Le mental était trop fort, trop
concret, et l'ouverture au spirituel absente. On était trop dans la
raison, la pensée rationnelle et logique, attaché à des principes, dans
les préoccupations mentales, ce qui n'a pas permis le développement
de soi. Sentiment de difficulté avec l'entourage. Cette maison parle
aussi de communication, nous pouvons avoir du mal à avoir une
communication vraie, authentique, sincère, on est on dans le mutisme,
la limitation de sa parole, ou au contraire le bavardage, le trop plein
de paroles. On a pu vivre des non-dits dans l'enfance.
La porte visible en maison 9 demande à faire évoluer ses pensées, à
les ouvrir au monde extérieur, à s'enrichir l'esprit de connaissances
profondes sur le genre humain, la philosophie, la spi"
axe_des_portes,maison,4,"Sujet autour de la famille, problématique d'ordre familial. On porte en
soi un conditionnement issu de la famille, du milieu d'origine. On en
revient beaucoup à l'enfance, on passe son temps à la réfléchir, la
repenser, la revivre, on décortique son passé, on peut juger sa famille,
ses parents, projetant sur eux l'origine de ses maux actuels. On aurait
aimé que son enfance soit différente, qu'elle se déroule autrement, en
pensant que ça nous aurait permis d'être plus heureux aujourd'hui.
Attachement à la lignée.
La porte visible en maison 10, indique que l'on doit vivre sa propre vie
en indépendance affective, créer son futur, ses valeurs, et on ne s'en
remet plus à l'autre, au passé. On s'engage dans le monde, dans le
social, on participe à l'œuvre sociale, sans renier pur autant ses
fondements et ses origines, mais en les intégrant. On cherche à
réaliser sa vocation, et trouver un équilibre vie pro/vie perso."
axe_des_portes,maison,5,"Indique que l'on souffre d'un sentiment d'estime de soi difficile,
puisque la maison 5 va représenter notre égo. On se sent
fondamentalement inférieur, et ça peut se jouer sur tous les plans de
sa vie: le couple, où on se sent écrasé, le travail, dans un poste qui
n'est pas à la hauteur... On se sent dans une position trop petite, on a
un complexe d'échec. Problématique en terme d'amour, sentiment d'en
avoir manqué et de ne pas en recevoir assez. On manque de joie, de
légèreté parfois.
La porte visible en maison 11 demande de se libérer pleinement,
notamment du besoin d'amour venant des autres, ce qui nous libérera
de relations dominatrices, où on se laisse se faire écraser par les
autres. On va se réconcilier avec I'humain à travers des œuvres
humanistes, à travers une implication sociale et collective. On va vers
l'inconnu, on se détache et on se décentre de ses peines et ressentis."
axe_des_portes,maison,6,"Peut générer une attention exagérée au quotidien et aux tâches du
quotidien. On cherche à tout mettre en ordre, à assainir son
environnement, par peur souvent, de ne pas pouvoir contrôler des
imprévus. On va beaucoup passer par la raison pour essayer de
maîtriser sa vie, et ça se manifeste par un besoin important de
maitriser chaque aspect du quotidien, à ranger, trier, mettre en ordre,
pour calmer une tension intérieure. Désir de pureté, de simplicité, mais
on a la sensation de s'user dans la rigueur de tâches fatigantes, en se
sentant corvéables, dans une vie enfermante, alors qu'on a besoin
d'aider les autres. Exigence.
La porte visible en maison 12 : on va chercher à guérir soi pour ouvrir
son cœur ensuite aux autres. On renonce à contrôler sa vie, on arrête
de trop s'en demander, on lâche prise sur l'image de soi même. On
s'ouvre à la compassion."
axe_des_portes,maison,7,"Une blessure s'est mise en place concernant l'autre et le rapport à
l'autre. On a pu vivre dans l'enfance des difficultés ou un danger avec
les autres, et avoir du mal avec eux une fois adulte. On cherche la
validation et l'approbation de l'autre, manquant de confiance en soi,
cherchant à la fois la distance, se sentant parfois dans l'indifférence,
dans un paradoxe concernant l'autre. Besoin de plaire. Nous avons pu
avoir le sentiment de ne pas avoir été aimé par notre famille de
manière inconditionnelle. Peur de ne pas mériter l'amour, sensibilité au
regard des autres.
La porte visible en maison 1 nécessite de se retrouver soi même, de
vivre en accord avec soi même. On va expérimenter le couple pour
pouvoir apprendre l'équilibre de la relation, sans se nier. Le but est la
complémentarité avec l'autre, ne plus attendre de l'autre qu'il
rétablisse notre blessure narcissique. On cherche un équilibre."
axe_des_portes,maison,8,"On a en soit un sentiment de quête, un besoin d'aller vers de la
profondeur, de s'élever, d'aller vers de l'érudition, avoir une vie plus
évoluée, se dégager de l'existence matérielle, s'élever au dessus des
choses. On voudra se défaire de l'emprise de l'argent tout en
conservant de l'ambiguïté par rapport à lui: c'est une maison de
possession et d'héritage. Maison très karmique. Rapport de force dans
les relations, sentiment de domination de la part des autres, honte de
soi notamment concernant la sexualité et les instincts, désirs.
La porte visible en maison 2 indique la nécessité de changer son
rapport à l'argent, aux biens, à la sécurité. On doit unir le matériel et
le spirituel. Il faut apaiser son lien avec la chair, avec le corps, prendre
soin de son enveloppe, apaiser ses relations avec l'autre sexe, avec la
sexualité. On va chercher la simplicité et non plus la complexité et la
difficulté."
axe_des_portes,maison,9,"Nous en avons trop fait dans les vies passées, on eu tendance à
remplir quelque chose par l'excès, on est dans l'exagération,
l'exaltation, il faudra apprendre à éviter les emballements, arrêter de
voir trop grand, trop en faire. Démesure, manque d'équilibre. Rêves de
grandeur. On a pu souffrir d'un manque de reconnaissance dans
l'enfance, notamment sur le plan de l'intelligence. Blessure de
l'existence : on devait se battre pour exister, on a du mal à trouver sa
place, donc en fait trop. Sentiment de quête perpétuelle.
La porte visible en maison 3 parle d'une communication plus
consciente, plus attentive, plus proche des autres et de l'entourage. Il
n'y a plus de rapport vertical, de hiérarchie, on vit le rapport et le lien
horizontal, égal. On s'éloigne des idéaux purs pour vivre de manière
plus réelle le rapport à ses pensées, dans le partage et la curiosité. On
retrouve la légèreté, une âme d'enfant."
axe_des_portes,maison,10,"Indique une vie passée ambitieuse, voire excessive sur le plan de
l'ambition. On a consacré de gros efforts à sa réussite sociale et
professionnelle, à sa carrière, en exerçant certainement une haute
fonction, et on craint dans cette vie l'échec, de ne pas réussir. Blessure
vis à vis de la famille, le sentiment de n'être pas entendu, pas
considéré, en particulier avec le parent représenté par le mdc. Il en
résulte un complexe de dévalorisation, un sentiment d'infériorité, par
rapport parfois à un autre membre de la famille. On a tout fait pour
être remarqué, pour être mieux, être plus, être reconnu, et une fois
adulte on continuera de rechercher la reconnaissance des autres.
La porte visible en maison 4 va demander un renoncement à son
besoin de réussite, baisser les armes, et retourner vers la vérité de
l'être. Vivre le lien à ses émotions, à son authenticité, au vécu de sa vie
intime, avec ses proches."
